dataset,method,method_raw,seed,config_hash,setting_type,k,source_file,source_files,duplicate_source_count,source_kind,context_label,early_stop_reason,task_count,accs_seen_per_task,acc_matrix_taskwise,use_diversity_buffer,use_kd,use_proto_align,gan_train_on_real_buffer,use_wgan_gp,use_projection_critic,main_method_variant,classifier_backbone,clf_optimizer,scaler_mode,buffer_update_mode,result_validity,paper_use_category,validity_reason,mean_acc_seen,min_acc_seen,final_taskwise_average_accuracy,forgetting,backward_transfer,bwt,precision_macro,precision_weighted,recall_macro,recall_weighted,macro_f1,weighted_f1,balanced_accuracy,old_class_accuracy,new_class_accuracy,plasticity_stability_gap,memory_MB,replay_memory_MB,generated_replay_MB,real_buffer_MB,model_memory_MB,gpu_peak_memory_MB,mmd_real_generated,wasserstein_real_generated,feature_center_l2,elapsed_minutes
az_class,ahr_malcl_v14_5_az_validation_k25,ahr_malcl_v14_5_az_validation_k25,42,315d97b2dc19b4cc,other,25,result/AZ-Class/first run/ahr_malcl_v14_5_az_validation_k25_results.json,result/AZ-Class/first run/ahr_malcl_v14_5_az_validation_k25_results.json,1,run,az,,11,"[0.8284886273821024, 0.7771207641573801, 0.7211413748378729, 0.646339342646803, 0.6232255419463947, 0.6081328200192493, 0.5629995195877189, 0.55294025953782, 0.5258081938122059, 0.5406352602648762, 0.47403620574950106]","[[0.828489, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.746202, 0.972284, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.669711, 0.899113, 0.902606, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.563362, 0.756652, 0.731139, 0.885473, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.52033, 0.858647, 0.69273, 0.73136, 0.784262, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.505489, 0.865299, 0.58642, 0.662183, 0.679487, 0.951066, -1.0, -1.0, -1.0, -1.0, -1.0], [0.473698, 0.849778, 0.524005, 0.539969, 0.411141, 0.87135, 0.831838, -1.0, -1.0, -1.0, -1.0], [0.453939, 0.721175, 0.358711, 0.433128, 0.438108, 0.823994, 0.730751, 0.899783, -1.0, -1.0, -1.0], [0.421533, 0.732262, 0.331962, 0.450423, 0.442971, 0.823204, 0.660841, 0.78437, 0.923372, -1.0, -1.0], [0.443576, 0.742794, 0.346365, 0.435434, 0.433687, 0.832676, 0.571564, 0.710203, 0.911877, 0.994937, -1.0], [0.409326, 0.723392, 0.361454, 0.264028, 0.387268, 0.396212, 0.518186, 0.61288, 0.681992, 0.993249, 0.57438]]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",0.6237152645401749,0.47403620574950106,0.5383970432520587,0.3626120163904365,-0.3626120163904365,-0.3626120163904365,,,,,0.4526595351794808,0.472914819167178,0.6165830190625757,0.46866123141623933,0.5743801652892562,0.10571893387301684,451.2638931274414,93.11676025390625,69.83757019042969,23.279190063476562,358.14713287353516,2862.6552734375,0.020166397094726562,0.08972529321908951,1.606782078742981,56.74260765314102
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k0,42,83751a87a9e580af,memory_budget,0,result/AZ-Class/memory budget /k=0/ahr_malcl_v14_5_az_memory_k0_results.json,result/AZ-Class/memory budget /k=0/ahr_malcl_v14_5_az_memory_k0_results.json,1,run,az,,11,"[0.8284886273821024, 0.6881964976120082, 0.49587002525769674, 0.3918613413715147, 0.3643724696356275, 0.3837824831568816, 0.3134908503297375, 0.2699427146253069, 0.2533755111488311, 0.30187774375622534, 0.18778668720893588]","[[0.828489, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.640379, 0.990022, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.39712, 0.730599, 0.97668, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.252217, 0.493902, 0.366941, 0.946195, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.194432, 0.486696, 0.313443, 0.60146, 0.882405, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.248792, 0.519956, 0.309328, 0.400077, 0.647215, 0.985004, -1.0, -1.0, -1.0, -1.0, -1.0], [0.188197, 0.523282, 0.259945, 0.153344, 0.175066, 0.722178, 0.945678, -1.0, -1.0, -1.0, -1.0], [0.101607, 0.412417, 0.173525, 0.028055, 0.206454, 0.539858, 0.391592, 0.984081, -1.0, -1.0, -1.0], [0.121191, 0.412417, 0.21262, 0.088394, 0.199823, 0.517758, 0.45111, 0.575253, 0.961686, -1.0, -1.0], [0.181084, 0.412417, 0.213306, 0.162567, 0.23298, 0.560379, 0.432215, 0.40919, 0.670498, 1.0, -1.0], [0.10512, 0.412417, 0.044582, 0.006149, 0.088859, 0.072612, 0.094473, 0.178365, 0.168582, 0.929958, 0.832645]]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.4071859046804425,0.18778668720893588,0.2667056505619286,0.7399122500203741,-0.7399122500203741,-0.7399122500203741,,,,,0.19350205935104195,0.185414463772796,0.2314630631776107,0.15324454937838936,0.8326446280991735,0.6794000787207841,427.98470306396484,69.83757019042969,69.83757019042969,0.0,358.14713287353516,2862.6552734375,0.10731256008148193,0.23312681913375854,4.297867298126221,60.853690803050995
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k10,42,b74956b9e399ddb1,memory_budget,10,result/AZ-Class/memory budget /k=10/ahr_malcl_v14_5_az_memory_k10_results.json,result/AZ-Class/memory budget /k=10/ahr_malcl_v14_5_az_memory_k10_results.json,1,run,az,,11,"[0.8284886273821024, 0.7664316579486014, 0.6595672059526247, 0.5809518288794853, 0.5286219443447958, 0.5254571703561116, 0.4698432109009914, 0.4637387475156853, 0.44251986729419024, 0.4672224886560667, 0.36562904863615675]","[[0.828489, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.733117, 0.976718, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.589795, 0.872506, 0.941015, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.488013, 0.607539, 0.696159, 0.904689, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.403443, 0.752772, 0.564472, 0.63259, 0.837312, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.403003, 0.75388, 0.501372, 0.515373, 0.736074, 0.973165, -1.0, -1.0, -1.0, -1.0, -1.0], [0.380873, 0.73337, 0.449246, 0.356264, 0.272767, 0.826361, 0.874823, -1.0, -1.0, -1.0, -1.0], [0.343901, 0.68071, 0.259945, 0.243274, 0.3855, 0.649566, 0.680208, 0.943922, -1.0, -1.0, -1.0], [0.363397, 0.685698, 0.259259, 0.234819, 0.360743, 0.642463, 0.621634, 0.692475, 0.94636, -1.0, -1.0], [0.367524, 0.696231, 0.246914, 0.278248, 0.356764, 0.684294, 0.577704, 0.664978, 0.862069, 0.995781, -1.0], [0.302275, 0.597007, 0.260631, 0.135665, 0.198055, 0.202841, 0.441663, 0.462373, 0.467433, 0.982278, 0.679063]]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.554406527078801,0.36562904863615675,0.42993492005287487,0.5172052590059896,-0.5172052590059896,-0.5172052590059896,,,,,0.3739236121097786,0.367831796893344,0.4998223410422621,0.34883978308186075,0.6790633608815427,0.330223577799682,437.29637908935547,79.14924621582031,69.83757019042969,9.311676025390625,358.14713287353516,2862.6552734375,0.044054508209228516,0.11990947276353836,2.5445265769958496,52.93184698025386
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k100,42,4918be47353ccd54,memory_budget,100,result/AZ-Class/memory budget /k=100/ahr_malcl_v14_5_az_memory_k100_results.json,result/AZ-Class/memory budget /k=100/ahr_malcl_v14_5_az_memory_k100_results.json,1,run,az,,11,"[0.8284886273821024, 0.7976650746721249, 0.7762304594170251, 0.7396092980117095, 0.6930251627120382, 0.6818094321462945, 0.6453683888719046, 0.6507150929425977, 0.6200910423578427, 0.6259268823551112, 0.5876606323750831]","[[0.828489, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.773601, 0.949557, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.732239, 0.960643, 0.891632, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.689822, 0.907428, 0.86214, 0.772483, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.626065, 0.966741, 0.768861, 0.699846, 0.755084, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.617459, 0.932373, 0.797668, 0.649116, 0.640141, 0.911602, -1.0, -1.0, -1.0, -1.0, -1.0], [0.570124, 0.949557, 0.751715, 0.582244, 0.5, 0.884767, 0.807274, -1.0, -1.0, -1.0, -1.0], [0.578115, 0.946231, 0.631687, 0.597233, 0.524315, 0.882399, 0.616438, 0.84081, -1.0, -1.0, -1.0], [0.565733, 0.877494, 0.624143, 0.584166, 0.484085, 0.886346, 0.569202, 0.708394, 0.911877, -1.0, -1.0], [0.558005, 0.94235, 0.667353, 0.573021, 0.499558, 0.883978, 0.478507, 0.643271, 0.934866, 0.982278, -1.0], [0.551506, 0.881929, 0.55144, 0.511914, 0.464191, 0.757695, 0.471894, 0.623734, 0.800766, 0.993249, 0.452479]]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.6951445539312577,0.5876606323750831,0.6418907448204677,0.20829408808763045,-0.204276833965246,-0.204276833965246,,,,,0.5664708507685939,0.5844314899938565,0.7486957479730948,0.5949016859113883,0.4524793388429752,-0.14242234706841306,521.1014633178711,162.95433044433594,69.83757019042969,93.11676025390625,358.14713287353516,2862.6552734375,0.0025649070739746094,0.042301245033741,0.5874155163764954,71.36240670283635
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k150,42,2a63c8e399aab634,memory_budget,150,result/AZ-Class/memory budget /k=150/ahr_malcl_v14_5_az_memory_k150_results.json,result/AZ-Class/memory budget /k=150/ahr_malcl_v14_5_az_memory_k150_results.json,1,run,az,,11,"[0.8284886273821024, 0.8093397013115002, 0.7928186224315653, 0.7512028288215176, 0.7245426126172295, 0.7172762271414822, 0.6909202078874962, 0.6652507696504423, 0.6500270040891907, 0.6582063673589847, 0.6159879547603208]","[[0.828489, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.788706, 0.939579, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.754457, 0.960643, 0.884774, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.706156, 0.885809, 0.877229, 0.784397, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.693598, 0.959534, 0.790809, 0.720984, 0.654288, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.667164, 0.925721, 0.802469, 0.691776, 0.658709, 0.929755, -1.0, -1.0, -1.0, -1.0, -1.0], [0.643892, 0.945676, 0.751029, 0.650653, 0.584881, 0.906867, 0.718942, -1.0, -1.0, -1.0, -1.0], [0.621762, 0.879712, 0.627572, 0.628363, 0.558798, 0.908445, 0.57487, 0.803907, -1.0, -1.0, -1.0], [0.603759, 0.954545, 0.638546, 0.623367, 0.544651, 0.872928, 0.478507, 0.761216, 0.938697, -1.0, -1.0], [0.597348, 0.887472, 0.692044, 0.634896, 0.545093, 0.857932, 0.480397, 0.72974, 0.961686, 0.989873, -1.0], [0.60332, 0.885809, 0.655693, 0.556879, 0.475243, 0.67719, 0.443552, 0.670767, 0.785441, 0.992405, 0.421488]]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.7185509930410757,0.6159879547603208,0.6516169801986395,0.1774875700089554,-0.17264020263004892,-0.17264020263004892,,,,,0.6090280874511349,0.6134714800325871,0.7842292984700994,0.6264064632751688,0.4214876033057851,-0.2049188599693837,567.6598434448242,209.51271057128906,69.83757019042969,139.67514038085938,358.14713287353516,2862.6552734375,0.004667520523071289,0.05567774176597595,0.7834510803222656,68.25425683657328
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k200,42,f10cc3a2f3b5abc3,memory_budget,200,result/AZ-Class/memory budget /k=200/ahr_malcl_v14_5_az_memory_k200_results.json,result/AZ-Class/memory budget /k=200/ahr_malcl_v14_5_az_memory_k200_results.json,1,run,az,,11,"[0.8295424607007992, 0.8160867257978925, 0.7954126561540037, 0.7707958958900933, 0.7296674012196996, 0.7211742059672762, 0.6941957461676203, 0.6906979462998324, 0.6855566700100301, 0.6876821485225219, 0.6534192373682552]","[[0.829542, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.795293, 0.947339, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.759023, 0.959534, 0.876543, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.726618, 0.96286, 0.891632, 0.763259, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.688856, 0.972284, 0.839506, 0.732898, 0.667109, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.676912, 0.964523, 0.770233, 0.690238, 0.652962, 0.901342, -1.0, -1.0, -1.0, -1.0, -1.0], [0.644419, 0.961197, 0.825789, 0.690238, 0.594164, 0.873717, 0.648087, -1.0, -1.0, -1.0, -1.0], [0.653816, 0.895233, 0.749657, 0.684473, 0.618479, 0.805841, 0.566368, 0.785456, -1.0, -1.0, -1.0], [0.63713, 0.960643, 0.775034, 0.67794, 0.583112, 0.834254, 0.551252, 0.76013, 0.938697, -1.0, -1.0], [0.635198, 0.944568, 0.784636, 0.638739, 0.608311, 0.824783, 0.518186, 0.712735, 0.900383, 0.991561, -1.0], [0.634847, 0.890244, 0.786008, 0.6103, 0.601238, 0.756906, 0.465281, 0.663893, 0.766284, 0.992405, 0.397383]]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.7340210085543659,0.6534192373682552,0.687708004779187,0.12215643280609285,-0.11815305971961228,-0.11815305971961228,,,,,0.63550890276011,0.6501524783607855,0.8014895020348528,0.6671339506400561,0.3973829201101928,-0.26975103052986327,613.8643798828125,255.71724700927734,69.83757019042969,185.87967681884766,358.14713287353516,3257.11474609375,0.0032809972763061523,0.04329937696456909,0.5488525629043579,11.152017418543497
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k25,42,b0e0bbba23628d45,memory_budget,25,result/AZ-Class/memory budget /k=25/ahr_malcl_v14_5_az_memory_k25_results.json,result/AZ-Class/memory budget /k=25/ahr_malcl_v14_5_az_memory_k25_results.json,1,run,az,,11,"[0.8284886273821024, 0.7793192328102494, 0.7182742849341252, 0.6516143991652658, 0.6318864346845693, 0.5892204042348412, 0.5625627811503691, 0.5446397256537158, 0.5160095671630276, 0.5310805327037297, 0.467838509751742]","[[0.828489, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.749012, 0.970621, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.664618, 0.911863, 0.897805, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.568192, 0.771064, 0.762003, 0.872022, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.548432, 0.870843, 0.673525, 0.671407, 0.789125, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.508738, 0.869734, 0.552812, 0.55957, 0.633068, 0.937648, -1.0, -1.0, -1.0, -1.0, -1.0], [0.486081, 0.853659, 0.489712, 0.488855, 0.426172, 0.886346, 0.818611, -1.0, -1.0, -1.0, -1.0], [0.463423, 0.743348, 0.325789, 0.405842, 0.407604, 0.815312, 0.678318, 0.881331, -1.0, -1.0, -1.0], [0.433652, 0.749446, 0.323045, 0.362029, 0.376658, 0.850039, 0.639112, 0.775687, 0.94636, -1.0, -1.0], [0.439097, 0.758869, 0.337449, 0.376633, 0.402299, 0.848461, 0.583373, 0.702243, 0.915709, 0.974684, -1.0], [0.419162, 0.741131, 0.307956, 0.244427, 0.347038, 0.355959, 0.527161, 0.599493, 0.609195, 0.982278, 0.57438]]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.6200849545121578,0.467838509751742,0.5189256437859867,0.3782893287577787,-0.3782893287577787,-0.3782893287577787,,,,,0.4431158577031104,0.45922103357182875,0.6093989593272142,0.4621315527354558,0.5743801652892562,0.11224861255380036,451.2638931274414,93.11676025390625,69.83757019042969,23.279190063476562,358.14713287353516,2862.6552734375,0.014984488487243652,0.07778088748455048,1.4880037307739258,55.37244000434875
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k50,42,ae1d9cc539fd765e,memory_budget,50,result/AZ-Class/memory budget /k=50/ahr_malcl_v14_5_az_memory_k50_results.json,result/AZ-Class/memory budget /k=50/ahr_malcl_v14_5_az_memory_k50_results.json,1,run,az,,11,"[0.8284886273821024, 0.7851565461299371, 0.7442146221585091, 0.6927134658860356, 0.6621739353251679, 0.6359961501443696, 0.6043149757610168, 0.5978332878687502, 0.5702877864362318, 0.5797395506695687, 0.5336671452081656]","[[0.828489, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.757882, 0.957317, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.698428, 0.920177, 0.884088, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.622289, 0.862528, 0.798354, 0.823982, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.586458, 0.910754, 0.66941, 0.733282, 0.758621, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.553614, 0.90133, 0.633059, 0.665642, 0.638373, 0.936859, -1.0, -1.0, -1.0, -1.0, -1.0], [0.50865, 0.896341, 0.574074, 0.636049, 0.472149, 0.902131, 0.814832, -1.0, -1.0, -1.0, -1.0], [0.5018, 0.816519, 0.478052, 0.525749, 0.478338, 0.886346, 0.686821, 0.879161, -1.0, -1.0, -1.0], [0.470624, 0.797118, 0.469136, 0.511914, 0.498232, 0.902131, 0.622107, 0.776411, 0.908046, -1.0, -1.0], [0.493984, 0.809867, 0.456104, 0.486549, 0.503979, 0.847672, 0.589986, 0.657019, 0.923372, 0.994093, -1.0], [0.479406, 0.796009, 0.433471, 0.433128, 0.407162, 0.751381, 0.497874, 0.598046, 0.835249, 0.989873, 0.424242]]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.6576896448154413,0.5336671452081656,0.6041675130518714,0.2579211657560537,-0.25638859870624536,-0.25638859870624536,,,,,0.49292795808164136,0.5311293905324685,0.6827825698105996,0.5395285350647434,0.42424242424242425,-0.11528611082231915,474.54308319091797,116.39595031738281,69.83757019042969,46.558380126953125,358.14713287353516,2862.6552734375,0.003333568572998047,0.04499524086713791,0.6864148378372192,57.43081826766332
ember,hybrid_random_buffer,ahr_malcl_v14_5_memory_k0,42,faa4beedcf470f77,memory_budget,0,result/EMBER/memory budget/k=0/ahr_malcl_v14_5_memory_k0_results.json,result/EMBER/memory budget/k=0/ahr_malcl_v14_5_memory_k0_results.json,1,run,ember,,11,"[0.9133065595716198, 0.8188614146060954, 0.7432042833607908, 0.5547051240734773, 0.5413979983385419, 0.28719736587255473, 0.2870700782021107, 0.26574406287374, 0.2916782978195465, 0.2745414169683327, 0.21101352955138855]","[[0.913307, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.787684, 0.966938, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.717858, 0.761699, 0.982666, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.574083, 0.378179, 0.637179, 0.911765, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.569639, 0.363174, 0.520622, 0.606618, 0.920879, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.250228, 0.316124, 0.320383, 0.474265, 0.512088, 0.878731, -1.0, -1.0, -1.0, -1.0, -1.0], [0.235716, 0.317396, 0.390915, 0.474265, 0.389011, 0.625, 0.925996, -1.0, -1.0, -1.0, -1.0], [0.143561, 0.305951, 0.099223, 0.466912, 0.265934, 0.535448, 0.709677, 0.920629, -1.0, -1.0, -1.0], [0.142436, 0.305443, 0.127914, 0.466912, 0.272527, 0.488806, 0.43074, 0.521724, 0.986895, -1.0, -1.0], [0.137028, 0.266277, 0.115959, 0.382353, 0.215385, 0.514925, 0.404175, 0.479302, 0.808804, 0.984177, -1.0], [0.075877, 0.305188, 0.115959, 0.4375, 0.23956, 0.524254, 0.404175, 0.423537, 0.342742, 0.639241, 0.960289]]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.47170183011256356,0.21101352955138855,0.40621107731699646,0.5883950574218784,-0.5883950574218784,-0.5883950574218784,,,,,0.22795103961687221,0.21533464665165666,0.2773548930318658,0.19207252152222187,0.9602888086642599,0.768216287142038,418.21691131591797,68.17817687988281,68.17817687988281,0.0,350.03873443603516,2797.2919921875,0.07377338409423828,0.2156757265329361,3.6966335773468018,57.14145979086558
ember,hybrid_random_buffer,ahr_malcl_v14_5_memory_k10,42,fe517d844ab5a356,memory_budget,10,result/EMBER/memory budget/k=10/ahr_malcl_v14_5_memory_k10_results.json,result/EMBER/memory budget/k=10/ahr_malcl_v14_5_memory_k10_results.json,1,run,ember,,11,"[0.9133065595716198, 0.8782235590746229, 0.8520593080724876, 0.7788833387044796, 0.732386565924285, 0.7036993995738912, 0.6869637840710652, 0.6642747309072271, 0.6469092149747216, 0.6348066802543121, 0.5237953952053169]","[[0.913307, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.863722, 0.947101, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.838126, 0.864446, 0.978482, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.809853, 0.542218, 0.96055, 0.867647, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.76407, 0.54705, 0.777047, 0.711397, 0.894505, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0], [0.727711, 0.549339, 0.787806, 0.630515, 0.734066, 0.785448, -1.0, -1.0, -1.0, -1.0, -1.0], [0.721392, 0.472533, 0.763897, 0.632353, 0.679121, 0.684701, 0.888046, -1.0, -1.0, -1.0, -1.0], [0.687604, 0.4059, 0.672445, 0.523897, 0.52967, 0.597015, 0.855787, 0.882997, -1.0, -1.0, -1.0], [0.672718, 0.413021, 0.523013, 0.534926, 0.551648, 0.572761, 0.83871, 0.586042, 0.937836, -1.0, -1.0], [0.635181, 0.43235, 0.628213, 0.5, 0.545055, 0.583955, 0.540797, 0.680123, 0.850806, 0.976266, -1.0], [0.545221, 0.402085, 0.444112, 0.459559, 0.518681, 0.597015, 0.817837, 0.541909, 0.322581, 0.928797, 0.938628]]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.7286644123940026,0.5237953952053169,0.5924023508096722,0.34938359614743464,-0.34938359614743464,-0.34938359614743464,,,,,0.4750250184380658,0.523293419343648,0.5733712467760615,0.5133087944513735,0.9386281588447654,0.4253193643933919,427.30733489990234,77.26860046386719,68.17817687988281,9.090423583984375,350.03873443603516,2797.2919921875,0.014268636703491211,0.09142938256263733,1.5152077674865723,55.73090782960256
