f1-score,label,precision,recall,support
0.4634146341463415,0,0.34545454545454546,0.7037037037037037,135.0
0.9206049149338374,1,0.8903107861060329,0.9530332681017613,511.0
0.676056338028169,2,0.5517241379310345,0.8727272727272727,55.0
0.7288135593220338,3,0.8365758754863813,0.6456456456456456,999.0
0.6125,4,0.44545454545454544,0.98,50.0
0.956989247311828,5,0.9175257731958762,1.0,89.0
0.8888888888888888,6,0.8148148148148148,0.9777777777777777,45.0
0.3889457523029683,7,0.625,0.2823179791976226,673.0
0.835820895522388,8,0.7368421052631579,0.9655172413793104,174.0
0.8627450980392157,9,0.7857142857142857,0.9565217391304348,115.0
0.9615384615384616,10,0.9259259259259259,1.0,25.0
0.8571428571428571,11,0.8108108108108109,0.9090909090909091,33.0
0.9200603318250377,12,0.9145427286356822,0.9256449165402124,659.0
0.8148148148148148,13,0.7857142857142857,0.8461538461538461,260.0
0.6877828054298643,14,0.5547445255474452,0.9047619047619048,84.0
0.8387799564270153,15,0.9199522102747909,0.7707707707707707,999.0
0.8922651933701657,16,0.918918918918919,0.8671140939597315,745.0
0.6749134092033646,17,0.6673189823874756,0.6826826826826827,999.0
0.40559440559440557,18,0.26126126126126126,0.90625,32.0
0.9154228855721394,19,0.8440366972477065,1.0,92.0
0.9454365079365079,20,0.9370698131760079,0.953953953953954,999.0
0.6751054852320675,21,0.5333333333333333,0.9195402298850575,87.0
0.4497354497354497,22,0.6640625,0.34,1000.0
0.9655172413793104,23,0.9491525423728814,0.9824561403508771,57.0
0.6171003717472119,24,0.7572992700729927,0.520702634880803,797.0
0.43956043956043955,25,0.3125,0.7407407407407407,27.0
0.60431654676259,26,0.4329896907216495,1.0,42.0
0.9710391822827938,27,0.9628378378378378,0.979381443298969,291.0
0.9975062344139651,28,0.9950248756218906,1.0,1000.0
0.9682299546142209,29,0.9766022380467956,0.96,1000.0
0.6240601503759399,30,0.4911242603550296,0.8556701030927835,97.0
0.41818181818181815,31,0.2857142857142857,0.7796610169491526,59.0
0.9304556354916067,32,0.9216152019002375,0.9394673123486683,413.0
0.6818181818181818,33,0.5454545454545454,0.9090909090909091,33.0
0.5769230769230769,34,0.410958904109589,0.967741935483871,31.0
0.87248322147651,35,0.8609271523178808,0.8843537414965986,147.0
0.515527950310559,36,0.538961038961039,0.49404761904761907,168.0
1.0,37,1.0,1.0,47.0
0.7982407916437603,38,0.8832116788321168,0.728184553660983,997.0
0.8333333333333334,39,0.7142857142857143,1.0,20.0
0.9545454545454546,40,0.9130434782608695,1.0,21.0
0.8259109311740891,41,0.7285714285714285,0.9532710280373832,107.0
0.738544474393531,42,0.7486338797814208,0.7287234042553191,188.0
0.5555555555555556,43,0.38461538461538464,1.0,25.0
0.7270896273917422,44,0.7037037037037037,0.7520833333333333,480.0
0.9572649572649573,45,0.9205479452054794,0.9970326409495549,337.0
0.8907563025210085,46,0.803030303030303,1.0,53.0
0.10931174089068826,47,0.42857142857142855,0.06264501160092807,431.0
0.8055555555555556,48,0.6744186046511628,1.0,58.0
0.8575581395348837,49,0.899390243902439,0.8194444444444444,360.0
0.419672131147541,50,0.2723404255319149,0.9142857142857143,70.0
0.8447809626825311,51,0.9188235294117647,0.7817817817817818,999.0
0.6,52,0.515625,0.717391304347826,46.0
0.9447236180904522,53,0.9038461538461539,0.9894736842105263,95.0
0.391304347826087,54,0.27692307692307694,0.6666666666666666,27.0
0.9824561403508771,55,0.9655172413793104,1.0,84.0
0.23255813953488372,56,0.13262599469496023,0.9433962264150944,53.0
0.8158995815899581,57,0.7169117647058824,0.9466019417475728,206.0
0.7398843930635838,58,0.6153846153846154,0.927536231884058,69.0
0.752073732718894,59,0.912751677852349,0.6394984326018809,638.0
0.5974025974025974,60,0.4380952380952381,0.9387755102040817,49.0
