class_id,class_label,precision,recall,f1_score,support
0,0,0.996591877307583,0.9755351681957186,0.9859511098623209,3597
1,1,0.9895953757225433,0.7241962774957699,0.8363458720078163,2364
2,62,0.9099099099099099,0.9901960784313726,0.9483568075117371,102
3,76,0.8472222222222222,1.0,0.9172932330827067,61
4,37,0.26996197718631176,0.42771084337349397,0.331002331002331,166
5,99,0.6382978723404256,0.8571428571428571,0.7317073170731707,35
6,78,0.9850746268656716,0.88,0.9295774647887323,75
7,38,0.6496815286624203,0.5862068965517241,0.6163141993957704,174
8,2,0.960919540229885,0.5951589938300902,0.735052754982415,2107
9,84,0.9811320754716981,1.0,0.9904761904761905,52
10,60,0.32270916334661354,0.9204545454545454,0.47787610619469023,88
11,26,0.8924302788844621,0.7417218543046358,0.8101265822784811,302
12,69,0.9863013698630136,0.972972972972973,0.979591836734694,74
13,33,0.7401960784313726,0.888235294117647,0.8074866310160428,170
14,51,0.6330275229357798,0.71875,0.673170731707317,96
15,4,0.9820433436532507,0.9446098868374032,0.9629629629629629,1679
16,92,0.27450980392156865,0.6511627906976745,0.3862068965517242,43
17,7,0.9965156794425087,0.9879101899827288,0.992194275802255,1158
18,10,0.6079545454545454,0.26034063260340634,0.3645655877342419,822
19,74,0.36363636363636365,0.3870967741935484,0.37500000000000006,62
20,45,0.5961538461538461,0.6690647482014388,0.6305084745762711,139
21,9,0.9868995633187773,0.9804772234273319,0.9836779107725789,922
22,20,0.9408866995073891,0.9339853300733496,0.9374233128834356,409
23,18,0.884313725490196,0.9555084745762712,0.9185336048879836,472
24,73,1.0,0.9838709677419355,0.991869918699187,62
25,19,0.8143459915611815,0.919047619047619,0.8635346756152126,420
26,25,0.6731843575418994,0.7370030581039755,0.7036496350364964,327
27,21,0.9036144578313253,0.410958904109589,0.5649717514124294,365
28,70,0.8055555555555556,0.8405797101449275,0.8226950354609929,69
29,23,0.977491961414791,0.9240121580547113,0.95,329
30,97,0.6481481481481481,0.7777777777777778,0.707070707070707,45
31,90,0.8870967741935484,0.9016393442622951,0.8943089430894309,61
32,29,0.9386792452830188,0.8652173913043478,0.9004524886877827,230
33,67,0.49673202614379086,0.8941176470588236,0.638655462184874,85
34,5,0.971883786316776,0.7307963354474982,0.834271922767498,1419
35,82,0.9577464788732394,1.0,0.9784172661870503,68
36,28,0.49101796407185627,0.28771929824561404,0.36283185840707965,285
37,43,0.3873239436619718,0.3873239436619718,0.3873239436619718,142
38,63,0.32275132275132273,0.5495495495495496,0.4066666666666667,111
39,66,0.6736842105263158,0.7111111111111111,0.6918918918918919,90
40,44,0.8497409326424871,0.9425287356321839,0.8937329700272479,174
41,50,0.9767441860465116,0.9921259842519685,0.9843749999999999,127
42,58,0.9196428571428571,0.9809523809523809,0.9493087557603686,105
43,55,0.5925925925925926,0.7142857142857143,0.6477732793522266,112
44,96,0.45054945054945056,0.9318181818181818,0.6074074074074074,44
45,27,0.611731843575419,0.7551724137931034,0.6759259259259259,290
46,39,1.0,0.9822485207100592,0.9910447761194029,169
47,22,0.4928571428571429,0.1977077363896848,0.2822085889570552,349
48,80,1.0,1.0,1.0,62
49,71,0.972972972972973,0.9863013698630136,0.979591836734694,73
50,41,0.8429319371727748,0.92,0.8797814207650272,175
51,48,0.16666666666666666,0.16083916083916083,0.16370106761565836,143
52,47,0.9527027027027027,1.0,0.9757785467128028,141
53,79,0.9016393442622951,0.873015873015873,0.8870967741935485,63
54,52,0.9914529914529915,0.9830508474576272,0.9872340425531915,118
55,16,0.9640718562874252,0.9857142857142858,0.9747729566094855,490
56,54,0.9736842105263158,1.0,0.9866666666666666,111
57,89,0.9193548387096774,0.95,0.9344262295081968,60
58,64,0.4897959183673469,0.8181818181818182,0.6127659574468085,88
59,59,0.5466666666666666,0.845360824742268,0.6639676113360324,97
60,13,0.6953271028037383,0.6019417475728155,0.6452732003469209,618
61,49,0.18181818181818182,0.2702702702702703,0.2173913043478261,148
62,83,0.10810810810810811,0.39344262295081966,0.1696113074204947,61
63,40,0.8540540540540541,0.9294117647058824,0.8901408450704226,170
64,11,0.9294964028776979,0.7995049504950495,0.8596141051230872,808
65,42,0.5617283950617284,0.6363636363636364,0.5967213114754099,143
