class_label,accuracy
20,1.0
2,1.0
15,0.96
22,0.9767441860465116
57,0.9523809523809523
91,0.99
69,0.9824561403508771
55,0.9183673469387755
11,1.0
79,0.8728728728728729
9,0.9591836734693877
38,0.8620689655172413
85,0.9393939393939394
0,0.9032258064516129
89,0.8838709677419355
13,0.9811320754716981
5,0.483
1,1.0
95,0.8888888888888888
83,0.8556701030927835
44,0.8714285714285714
12,0.9435483870967742
78,0.9431818181818182
94,0.48848848848848847
37,0.8679817905918058
92,0.9381443298969072
97,0.9850746268656716
56,0.7429467084639498
63,0.7287287287287287
46,0.46800501882057716
8,0.9466019417475728
33,0.5855855855855856
45,1.0
19,0.8452380952380952
14,0.14271356783919598
93,0.5765765765765766
73,0.7530266343825666
39,0.98
24,0.9425287356321839
6,0.7517517517517518
62,0.7916666666666666
23,0.9010989010989011
18,0.868421052631579
42,0.6962962962962963
80,1.0
86,1.0
31,0.757
67,0.9545454545454546
27,0.8545454545454545
10,0.9789473684210527
40,0.9439252336448598
70,0.8653846153846154
96,0.8617449664429531
88,0.6842105263157895
26,0.32838038632986627
54,0.8962818003913894
71,1.0
29,1.0
25,0.625
43,0.11832946635730858
41,0.8867924528301887
72,0.8258258258258259
3,0.865
81,1.0
53,1.0
77,0.6645161290322581
61,0.6603206412825652
7,0.9333333333333333
28,0.6329787234042553
99,0.7357357357357357
52,0.9130434782608695
48,0.8163265306122449
82,0.9655172413793104
60,0.9130434782608695
74,0.935064935064935
32,0.6690070210631895
47,0.675
76,0.937
36,1.0
4,0.4745762711864407
90,0.6296296296296297
84,0.5652610441767069
34,0.7777777777777778
65,0.9550561797752809
75,0.8867924528301887
50,0.9130434782608695
35,0.4533898305084746
98,0.9574468085106383
87,1.0
30,0.9090909090909091
66,0.90625
59,0.9230769230769231
17,0.9703264094955489
51,0.9259259259259259
16,0.8947368421052632
58,1.0
21,0.896551724137931
49,0.8405797101449275
64,0.5714285714285714
68,1.0
