accuracy,class_id
0.9726027397260274,0
0.9411764705882353,1
0.42168674698795183,2
0.27858880778588807,3
0.9942528735632183,4
0.9611650485436893,5
0.9870550161812298,6
0.3,7
1.0,8
0.9230769230769231,9
1.0,10
0.6343042071197411,11
1.0,12
0.7380952380952381,13
0.9822485207100592,14
0.8229166666666666,15
0.875,16
0.7150684931506849,17
0.9437652811735942,18
0.9528907922912205,19
1.0,20
0.6774193548387096,21
0.9130434782608695,22
0.9420289855072463,23
0.8888888888888888,24
0.7743403093721565,25
0.8345323741007195,26
0.9523809523809523,27
1.0,28
0.8380414312617702,29
0.6549295774647887,30
0.9458010720667064,31
0.7906976744186046,32
0.9901960784313726,33
0.7339449541284404,34
1.0,35
0.9318181818181818,36
0.9959016393442623,37
0.9657142857142857,38
0.930928626247122,39
0.8531468531468531,40
0.9015544041450777,41
0.7266187050359713,42
0.7364341085271318,43
0.9795918367346939,44
0.7843137254901961,45
0.776047261009667,46
0.38513513513513514,47
0.7333333333333333,48
1.0,49
1.0,50
0.9598698481561823,51
0.7582781456953642,52
0.998272884283247,53
0.6222222222222222,54
0.9830414234083958,55
0.7241379310344828,56
0.7671232876712328,57
0.7840909090909091,58
0.9971671388101983,59
0.26356589147286824,60
0.7391304347826086,61
0.86,62
1.0,63
0.9176470588235294,64
0.5789473684210527,65
0.8571428571428571,66
0.9857142857142858,67
0.5765765765765766,68
0.9848024316109423,69
0.2786885245901639,70
0.9791666666666666,71
0.45614035087719296,72
0.7635363790186125,73
0.9733333333333334,74
0.8,75
0.9016393442622951,76
0.13986013986013987,77
1.0,78
1.0,79
0.9666666666666667,80
0.7339055793991416,81
0.6666666666666666,82
0.8556701030927835,83
0.32664756446991405,84
0.75,85
0.7338709677419355,86
0.927461139896373,87
0.9736842105263158,88
0.8424299952539155,89
1.0,90
0.7137931034482758,91
0.8863636363636364,92
0.9848484848484849,93
0.989406779661017,94
0.9761904761904762,95
0.9904761904761905,96
0.9823529411764705,97
0.9864864864864865,98
0.8672566371681416,99
