class_label,accuracy
71,1.0
33,0.5865865865865866
37,0.8968133535660091
10,0.9894736842105263
44,0.9
34,0.7407407407407407
24,0.9482758620689655
98,1.0
73,0.9418886198547215
95,0.8395061728395061
50,0.9130434782608695
13,0.9622641509433962
53,1.0
57,0.9523809523809523
39,0.96
51,0.8518518518518519
11,1.0
21,0.9482758620689655
20,1.0
15,1.0
52,0.6739130434782609
74,0.961038961038961
29,1.0
70,0.8615384615384616
93,0.5265265265265265
8,0.9611650485436893
46,0.40526976160602257
91,1.0
54,0.8845401174168297
14,0.09949748743718594
43,0.16009280742459397
4,0.4576271186440678
92,0.9209621993127147
62,0.8472222222222222
25,0.5714285714285714
76,0.952
96,0.825503355704698
17,0.9376854599406528
41,0.8867924528301887
6,0.7247247247247247
42,0.6074074074074074
35,0.5254237288135594
45,1.0
5,0.481
36,1.0
86,1.0
3,0.858
49,0.8260869565217391
66,0.9375
77,0.6838709677419355
47,0.63125
9,0.8979591836734694
26,0.24814264487369986
7,0.9777777777777777
94,0.6116116116116116
0,0.8387096774193549
38,0.9080459770114943
68,0.967391304347826
64,0.8095238095238095
12,0.8790322580645161
56,0.7241379310344828
81,0.9310344827586207
85,0.9090909090909091
82,0.9310344827586207
67,0.9318181818181818
87,0.9761904761904762
99,0.7087087087087087
16,0.868421052631579
63,0.7957957957957958
23,0.8351648351648352
83,0.8762886597938144
65,0.9438202247191011
28,0.675531914893617
1,1.0
78,0.9204545454545454
97,0.9850746268656716
90,0.6666666666666666
48,0.9047619047619048
88,0.7105263157894737
84,0.5150602409638554
89,0.8903225806451613
30,0.9696969696969697
79,0.913913913913914
59,0.9615384615384616
22,0.9767441860465116
55,0.8979591836734694
31,0.679
32,0.5977933801404213
72,0.8798798798798799
2,1.0
80,1.0
27,0.7636363636363637
60,0.8695652173913043
75,0.8679245283018868
18,0.9473684210526315
19,0.8452380952380952
58,0.9523809523809523
40,0.9345794392523364
69,0.9824561403508771
61,0.6653306613226453
