task_id,task_number,seen_classes,seen_average_accuracy,final_task_accuracy,macro_f1,weighted_f1,balanced_accuracy,old_class_accuracy,new_class_accuracy,taskwise_accuracies
0,1,50,0.7449234914830142,0.46723125781926667,0.6306940108641368,0.7533493869253404,0.7840439929467905,,0.7449234914830142,[0.7449234914830142]
1,2,55,0.6253507392214417,0.265625,0.6030843881556799,0.7311400459571487,0.7554313663456461,0.7272639784428833,0.5234375,"[0.7272639784428833, 0.5234375]"
2,3,60,0.5619415842290251,0.1536643026004728,0.5979040962358371,0.7157579721324687,0.7364255145861646,0.7237419475305761,0.4385342789598109,"[0.730102973727264, 0.5171875, 0.4385342789598109]"
3,4,65,0.5269145705888053,0.11966759002770083,0.5531655195817881,0.6836647669735388,0.6875418738557463,0.6926082270522723,0.4277008310249307,"[0.7077278414012126, 0.521875, 0.450354609929078, 0.4277008310249307]"
4,5,70,0.5110825578236724,0.17190388170055454,0.556622656478189,0.6611224271150488,0.6579775757962286,0.6581647488887966,0.640788662969809,"[0.7006544124723318, 0.4828125, 0.3605200945626478, 0.3706371191135734, 0.640788662969809]"
5,6,75,0.4360092360296291,0.04654895666131621,0.5103451286692835,0.6447915135886543,0.6216247521302478,0.654615504358655,0.05778491171749599,"[0.6976229429313829, 0.4640625, 0.39952718676122934, 0.38337950138504157, 0.6136783733826248, 0.05778491171749599]"
6,7,80,0.41887920357267017,0.5540106951871657,0.47624541801353526,0.6166815266448904,0.5881092115679,0.606899958205099,0.6245989304812835,"[0.6785198729669907, 0.453125, 0.38416075650118203, 0.3047091412742382, 0.403573629081947, 0.08346709470304976, 0.6245989304812835]"
7,8,85,0.43685718186501765,0.7639329406434073,0.4809692023070199,0.620218221940697,0.5837324566894431,0.5941880090995817,0.7575894879927504,"[0.6739486093734963, 0.5359375, 0.24349881796690306, 0.20997229916897506, 0.40542205791743685, 0.0738362760834671, 0.5946524064171123, 0.7575894879927504]"
8,9,90,0.4035708103650547,0.1331236897274633,0.49243723344173024,0.6119856762007283,0.5769255657832905,0.6040528155867079,0.27568134171907754,"[0.6790972957366952, 0.4984375, 0.2695035460992908, 0.1811634349030471, 0.3093037584719655, 0.0593900481540931, 0.574331550802139, 0.7852288173991844, 0.27568134171907754]"
9,10,95,0.39949624631032177,0.1640625,0.46006075519736794,0.5973374636595227,0.5549845411297869,0.6035180009863554,0.21540178571428573,"[0.6794341256856895, 0.5, 0.2541371158392435, 0.2836565096952909, 0.3678373382624769, 0.056179775280898875, 0.5711229946524065, 0.8019936565473493, 0.26519916142557654, 0.21540178571428573]"
10,11,100,0.329353476381152,0.7831174258253238,0.41960242666111086,0.4317449753011494,0.4760150075360461,0.41557280189070933,0.7831174258253238,"[0.46723125781926667, 0.265625, 0.1536643026004728, 0.11966759002770083, 0.17190388170055454, 0.04654895666131621, 0.5540106951871657, 0.7639329406434073, 0.1331236897274633, 0.1640625, 0.7831174258253238]"
