baseline,dataset,k,seed_count,seeds,source_files,comparison_mode,mean_acc_seen_mean,mean_acc_seen_std,mean_acc_seen_available_count,final_taskwise_average_accuracy_mean,final_taskwise_average_accuracy_std,final_taskwise_average_accuracy_available_count,forgetting_mean,forgetting_std,forgetting_available_count,macro_f1_mean,macro_f1_std,macro_f1_available_count,weighted_f1_mean,weighted_f1_std,weighted_f1_available_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_available_count,old_class_accuracy_mean,old_class_accuracy_std,old_class_accuracy_available_count,new_class_accuracy_mean,new_class_accuracy_std,new_class_accuracy_available_count,memory_MB_mean,memory_MB_std,memory_MB_available_count,model_memory_MB_mean,model_memory_MB_std,model_memory_MB_available_count
DERPP,az_class,200,5,42;43;44;45;46,result_external_baselines/DERPP/AZ-Class/K=200/seed=42/full-result.json;result_external_baselines/DERPP/AZ-Class/K=200/seed=43/full-result.json;result_external_baselines/DERPP/AZ-Class/K=200/seed=44/full-result.json;result_external_baselines/DERPP/AZ-Class/K=200/seed=45/full-result.json;result_external_baselines/DERPP/AZ-Class/K=200/seed=46/full-result.json,paired against trusted valid_main_hr/main_final_table rows when seed and metric sets match,0.798071639343013,0.022509785342566244,5,0.730479863206487,0.07157721730927644,5,0.16566754510493475,0.08158282965278676,5,0.7019633685783907,0.0244092130683817,5,0.7164396472392908,0.03615341461171379,5,0.806049916126207,0.0473827196871453,5,,,0,,,0,205.64046478271484,0.0,5,12.145889282226562,0.0,5
DERPP,ember,100,5,42;43;44;45;46,result_external_baselines/DERPP/EMBER/K=100/seed=42/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=43/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=44/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=45/full-result.json;result_external_baselines/DERPP/EMBER/K=100/seed=46/full-result.json,paired against trusted valid_main_hr/main_final_table rows when seed and metric sets match,0.8532826972426935,0.015134487731662169,5,0.8223596842177144,0.01944471633814358,5,0.10715592018325279,0.024033961402189025,5,0.7600468495264815,0.013655541970967128,5,0.8260970712224002,0.02627602901445134,5,0.8124772766685571,0.009483577448242422,5,,,0,,,0,106.63825988769531,0.0,5,11.919326782226562,0.0,5
ER,az_class,200,5,42;43;44;45;46,result_external_baselines/ER/AZ-Class/K=200/seed=42/full-result.json;result_external_baselines/ER/AZ-Class/K=200/seed=43/full-result.json;result_external_baselines/ER/AZ-Class/K=200/seed=44/full-result.json;result_external_baselines/ER/AZ-Class/K=200/seed=45/full-result.json;result_external_baselines/ER/AZ-Class/K=200/seed=46/full-result.json,paired against trusted valid_main_hr/main_final_table rows when seed and metric sets match,0.7958075617049813,0.020918028546077265,5,0.7337570213175761,0.04185926545782086,5,0.1567809016943191,0.05242241908676956,5,0.702437789516546,0.022323732244003334,5,0.7154541140638287,0.02292076298098406,5,0.8100391158338678,0.031141540163556414,5,,,0,,,0,198.02556610107422,0.0,5,12.145889282226562,0.0,5
ER,ember,100,5,42;43;44;45;46,result_external_baselines/ER/EMBER/K=100/seed=42/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=43/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=44/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=45/full-result.json;result_external_baselines/ER/EMBER/K=100/seed=46/full-result.json,paired against trusted valid_main_hr/main_final_table rows when seed and metric sets match,0.8428875571149164,0.015523379994163195,5,0.8109694213571356,0.022816368201829675,5,0.11577145452809016,0.024927508493752772,5,0.7560765973427944,0.014051479225069734,5,0.81911939493779,0.027448079721060354,5,0.804691604495968,0.008071963550649803,5,,,0,,,0,102.82356262207031,0.0,5,11.919326782226562,0.0,5
Joint,az_class,,5,42;43;44;45;46,result_external_baselines/Joint/AZ-Class/seed=42/full-result.json;result_external_baselines/Joint/AZ-Class/seed=43/full-result.json;result_external_baselines/Joint/AZ-Class/seed=44/full-result.json;result_external_baselines/Joint/AZ-Class/seed=45/full-result.json;result_external_baselines/Joint/AZ-Class/seed=46/full-result.json,paired against trusted valid_main_hr/main_final_table rows when seed and metric sets match,0.8456696126581748,0.02173198838861619,5,0.8456696126581748,0.02173198838861619,5,0.0,0.0,5,0.7928008082381827,0.002395054421066258,5,0.829714224086618,0.0014843689553046108,5,0.802458801163977,0.009537994482401441,5,,,0,,,0,12.145889282226562,0.0,5,12.145889282226562,0.0,5
Joint,ember,,5,42;43;44;45;46,result_external_baselines/Joint/EMBER/seed=42/full-result.json;result_external_baselines/Joint/EMBER/seed=43/full-result.json;result_external_baselines/Joint/EMBER/seed=44/full-result.json;result_external_baselines/Joint/EMBER/seed=45/full-result.json;result_external_baselines/Joint/EMBER/seed=46/full-result.json,paired against trusted valid_main_hr/main_final_table rows when seed and metric sets match,0.8587997221907472,0.022438914776723256,5,0.8587997221907472,0.022438914776723256,5,0.0,0.0,5,0.8172931167040678,0.005991798242637697,5,0.8924288296430516,0.0018998115415183117,5,0.8131990626275171,0.007842145932264228,5,,,0,,,0,11.919326782226562,0.0,5,11.919326782226562,0.0,5
