dataset,seed,metric,metric_desirability,anchor_main_effect_raw,generation_main_effect_raw,interaction_raw,anchor_main_effect_benefit_aligned,generation_main_effect_benefit_aligned,interaction_benefit_aligned,decomposition_label
ember,42,final_tm_accuracy,higher_is_better,0.5356877679237568,0.15636714116715233,-0.30135789948387726,0.5356877679237568,0.15636714116715233,-0.30135789948387726,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,42,tm_aia,higher_is_better,0.4162561685497722,0.14684072033583717,-0.29654971164368704,0.4162561685497722,0.14684072033583717,-0.29654971164368704,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,42,sw_aia,higher_is_better,0.581281489368802,0.13270430029634472,-0.268827453835502,0.581281489368802,0.13270430029634472,-0.268827453835502,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,42,forgetting,lower_is_better,-0.6857298136284034,-0.17602628637159662,0.37872382725680664,0.6857298136284034,0.17602628637159662,-0.37872382725680664,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,42,bwt,higher_is_better,0.6881252777434809,0.17363082225651905,-0.3835147554869618,0.6881252777434809,0.17363082225651905,-0.3835147554869618,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,42,acquisition,higher_is_better,-0.08988066638849856,-0.0014790608842286668,0.04729187823154257,-0.08988066638849856,-0.0014790608842286668,0.04729187823154257,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,42,final_old_task_accuracy,higher_is_better,0.6017114135488641,0.17314708645113588,-0.3308920270977283,0.6017114135488641,0.17314708645113588,-0.3308920270977283,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,42,final_new_task_accuracy,higher_is_better,-0.12454868832731641,-0.011432311672683493,-0.0060166233453670115,-0.12454868832731641,-0.011432311672683493,-0.0060166233453670115,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,42,macro_f1,higher_is_better,0.6057810866976436,0.11966342364812169,-0.22074940340458787,0.6057810866976436,0.11966342364812169,-0.22074940340458787,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,42,weighted_f1,higher_is_better,0.6988820482801645,0.1124412533132026,-0.19882132983320566,0.6988820482801645,0.1124412533132026,-0.19882132983320566,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,42,balanced_accuracy,higher_is_better,0.6358545926466104,0.11269761180096216,-0.22887610237637346,0.6358545926466104,0.11269761180096216,-0.22887610237637346,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,final_tm_accuracy,higher_is_better,0.5388880470948927,0.18420722563237996,-0.3331879123716036,0.5388880470948927,0.18420722563237996,-0.3331879123716036,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,tm_aia,higher_is_better,0.3840171936375648,0.1887572372525047,-0.36757092558025883,0.3840171936375648,0.1887572372525047,-0.36757092558025883,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,sw_aia,higher_is_better,0.5208410756783606,0.1892594510271796,-0.38624165847309105,0.5208410756783606,0.1892594510271796,-0.38624165847309105,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,forgetting,lower_is_better,-0.6995864997064267,-0.19609830029357328,0.3986573994128536,0.6995864997064267,0.19609830029357328,-0.3986573994128536,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,bwt,higher_is_better,0.7020473482825003,0.1950459517174998,-0.4007620965650005,0.7020473482825003,0.1950459517174998,-0.4007620965650005,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,acquisition,higher_is_better,-0.09933681498010749,0.006892724071016487,0.03114126632385128,-0.09933681498010749,0.006892724071016487,0.03114126632385128,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,final_old_task_accuracy,higher_is_better,0.6145997238839711,0.20198607611602887,-0.3716414477679423,0.6145997238839711,0.20198607611602887,-0.3716414477679423,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,final_new_task_accuracy,higher_is_better,-0.21822872079589212,0.006418720795892174,0.05134744159178439,-0.21822872079589212,0.006418720795892174,0.05134744159178439,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,macro_f1,higher_is_better,0.5943426426903471,0.13361413872884179,-0.2502322307869221,0.5943426426903471,0.13361413872884179,-0.2502322307869221,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,weighted_f1,higher_is_better,0.6965459524931354,0.11669240288613754,-0.22329098403157346,0.6965459524931354,0.11669240288613754,-0.22329098403157346,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,balanced_accuracy,higher_is_better,0.6174225456008595,0.13212882915974858,-0.2721833298700434,0.6174225456008595,0.13212882915974858,-0.2721833298700434,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,44,final_tm_accuracy,higher_is_better,0.5059890395305973,0.19020959683303915,-0.4028771699702855,0.5059890395305973,0.19020959683303915,-0.4028771699702855,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,44,tm_aia,higher_is_better,0.37771455738004894,0.18824114239038273,-0.3840300666032042,0.37771455738004894,0.18824114239038273,-0.3840300666032042,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,44,sw_aia,higher_is_better,0.5052777698597342,0.18670602469040093,-0.38341003502857063,0.5052777698597342,0.18670602469040093,-0.38341003502857063,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,44,forgetting,lower_is_better,-0.6635844486269249,-0.2125351513730751,0.47199949725384993,0.6635844486269249,0.2125351513730751,-0.47199949725384993,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
