dataset,seed,variant,source_provenance,final_tm_accuracy,tm_aia,sw_aia,forgetting,bwt,acquisition,final_old_task_accuracy,final_new_task_accuracy,macro_f1,weighted_f1,balanced_accuracy,metric_unit,class_order_evidence
az_class,42,anchor_only,NEW_STANDARD_A_T4,0.7355547525981874,0.7963165615854184,0.7586340477569887,0.07483120754821304,-0.06532368550655228,0.7949399212405076,0.7730909441114496,0.36019283746556474,0.6784678945551503,0.71457367480459,0.832345836182039,fraction,EXACT_VECTOR_MATCH
az_class,43,anchor_only,NEW_STANDARD_A_T4,0.7439337066184425,0.7585133130726202,0.7535107187378877,0.07277080970588454,-0.05912473800489294,0.7976834684410723,0.7290550466289456,0.89272030651341,0.6816476255600605,0.7242500526823542,0.8325785529505737,fraction,EXACT_VECTOR_MATCH
az_class,44,anchor_only,NEW_STANDARD_A_T4,0.7492182541994516,0.8103337244496012,0.7703533947999769,0.06735248323350963,-0.054087421084079934,0.7983886370031607,0.7453195342801451,0.7882054533925175,0.6895942672227791,0.722744046610111,0.8365987205047588,fraction,EXACT_VECTOR_MATCH
az_class,45,anchor_only,NEW_STANDARD_A_T4,0.7223535172960424,0.8095661804907975,0.7726464942886363,0.06734208795481625,-0.05940833132040872,0.7763610912236867,0.7156609577502306,0.789279112754159,0.6829747042124771,0.7136676838948557,0.8413374650950085,fraction,EXACT_VECTOR_MATCH
az_class,46,anchor_only,NEW_STANDARD_A_T4,0.7754519118831106,0.7761653141934076,0.7397408310309571,0.05143903996271115,-0.04057729173951161,0.8123403589190303,0.7816474582411139,0.7134964483030781,0.6814083178376973,0.7182843545385208,0.8360823670957899,fraction,EXACT_VECTOR_MATCH
az_class,47,anchor_only,NEW_STANDARD_A_T4,0.7074324066558578,0.7764718632469031,0.7725253607800506,0.09280802554945616,-0.08440536304072203,0.784164554874696,0.6939814967302799,0.8419415059116366,0.6667791706989493,0.7113691658231545,0.8362757236033843,fraction,EXACT_VECTOR_MATCH
az_class,48,anchor_only,NEW_STANDARD_A_T4,0.7463924030268306,0.7545378452761088,0.751911120933357,0.08247091841896824,-0.06592233528966707,0.8063217987447099,0.7221342726764179,0.9889737065309584,0.6736514844144347,0.7229679730205211,0.8402275739312038,fraction,EXACT_VECTOR_MATCH
az_class,49,anchor_only,NEW_STANDARD_A_T4,0.6955351538920305,0.7486991912550025,0.758205608951901,0.08036419231355771,-0.07684146504083042,0.7653910312018763,0.6793902213876637,0.8569844789356984,0.6641264601701201,0.7089847519892328,0.8320757056076695,fraction,EXACT_VECTOR_MATCH
az_class,50,anchor_only,NEW_STANDARD_A_T4,0.703511815933764,0.7702444322409431,0.7969310376969506,0.0820457522774563,-0.06404026718131521,0.7617302406440506,0.7047428904679233,0.6912010705921713,0.6797360369234886,0.718538064566043,0.8358366929241317,fraction,EXACT_VECTOR_MATCH
az_class,51,anchor_only,NEW_STANDARD_A_T4,0.7544475377026434,0.7834152061795094,0.7389170246304981,0.08996766737919587,-0.06728058988470628,0.8156117103251037,0.7434830250636414,0.864092664092664,0.6794981294215914,0.7071679806552403,0.8371440439688662,fraction,EXACT_VECTOR_MATCH
az_class,42,current_only,HISTORICAL_REUSED,0.087716,0.25525741165223664,0.15288014613435413,0.9582134999999999,-0.9582134999999999,0.9588191818181818,0.0,0.964876,0.006092823533518563,0.007005857944928631,0.049337588885710486,fraction,INFERRED_FROM_SEEDED_PROTOCOL
