dataset,variant,source_provenance,seed,total_classifier_optimizer_steps,mean_classifier_pool_size,mean_current_pool_size,mean_anchor_pool_size,mean_generated_pool_size,mean_realized_anchor_share,mean_realized_generated_share
az_class,generated_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,48,3879,29956.636363636364,23365.727272727272,0,6590.909090909091,0.0,0.8481191655062054
az_class,current_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,49,3024,23365.727272727272,23365.727272727272,0,0,0.0,0.0
az_class,generated_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,49,3876,29956.636363636364,23365.727272727272,0,6590.909090909091,0.0,0.848158268545868
az_class,current_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,50,3030,23365.727272727272,23365.727272727272,0,0,0.0,0.0
az_class,generated_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,50,3885,29956.636363636364,23365.727272727272,0,6590.909090909091,0.0,0.8481985214512775
az_class,current_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,51,3030,23365.727272727272,23365.727272727272,0,0,0.0,0.0
az_class,generated_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,51,3876,29956.636363636364,23365.727272727272,0,6590.909090909091,0.0,0.8480303758526035
ember,current_only,HISTORICAL_RECONSTRUCTION_ANALYTIC_EXPECTATION,42-46 / manifest,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,not serialized,not serialized
ember,generated_only,HISTORICAL_RECONSTRUCTION_ANALYTIC_EXPECTATION,42-46 / manifest,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,not serialized,not serialized
ember,full_hybrid,HISTORICAL_RECONSTRUCTION_ANALYTIC_EXPECTATION,42-46 / manifest,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,not serialized,not serialized
az_class,current_only,HISTORICAL_RECONSTRUCTION_ANALYTIC_EXPECTATION,42-46 / manifest,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,not serialized,not serialized
az_class,generated_only,HISTORICAL_RECONSTRUCTION_ANALYTIC_EXPECTATION,42-46 / manifest,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,not serialized,not serialized
az_class,full_hybrid,HISTORICAL_RECONSTRUCTION_ANALYTIC_EXPECTATION,42-46 / manifest,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,see historical reconstruction,not serialized,not serialized
