accuracy,class_id
0.7037037037037037,0
0.9471624266144814,1
0.8727272727272727,2
0.6286286286286287,3
0.98,4
0.9887640449438202,5
1.0,6
0.3135215453194651,7
0.9712643678160919,8
0.9391304347826087,9
1.0,10
0.9090909090909091,11
0.921092564491654,12
0.8423076923076923,13
0.9047619047619048,14
0.7727727727727728,15
0.8832214765100671,16
0.7167167167167167,17
0.9375,18
1.0,19
0.948948948948949,20
0.8850574712643678,21
0.356,22
0.9824561403508771,23
0.4981179422835634,24
0.6666666666666666,25
1.0,26
0.9896907216494846,27
1.0,28
0.969,29
0.865979381443299,30
0.6271186440677966,31
0.9152542372881356,32
0.9090909090909091,33
0.967741935483871,34
0.9047619047619048,35
0.5,36
1.0,37
0.7121364092276831,38
1.0,39
1.0,40
0.9532710280373832,41
0.6648936170212766,42
1.0,43
0.7208333333333333,44
0.9970326409495549,45
1.0,46
0.06264501160092807,47
0.9655172413793104,48
0.8083333333333333,49
0.9428571428571428,50
0.7697697697697697,51
0.7391304347826086,52
1.0,53
0.8148148148148148,54
1.0,55
0.9433962264150944,56
0.941747572815534,57
0.855072463768116,58
0.6473354231974922,59
0.9591836734693877,60
0.6666666666666666,61
0.9850746268656716,62
1.0,63
1.0,64
0.9435483870967742,65
0.8948948948948949,66
0.5885885885885885,67
1.0,68
0.9659090909090909,69
0.9130434782608695,70
0.6296296296296297,71
0.8301886792452831,72
0.7105263157894737,73
0.3103448275862069,74
0.5032258064516129,75
0.6943887775551102,76
0.9039039039039038,77
0.9210526315789473,78
0.743,79
0.896551724137931,80
0.922077922077922,81
1.0,82
0.0592964824120603,83
1.0,84
0.9761904761904762,85
0.6947368421052632,86
1.0,87
0.948051948051948,88
0.9483870967741935,89
1.0,90
0.9591836734693877,91
0.9230769230769231,92
0.8765432098765432,93
0.6706827309236948,94
0.997,95
0.9615384615384616,96
0.96,97
0.9809322033898306,98
1.0,99
