File Path,Dataset,Method,Setting Type,K,Seed,use_diversity_buffer,use_kd,use_proto_align,gan_train_on_real_buffer,result_validity,paper_use_category,validity_reason
result/final-run/AZ-Class/ablation/plus_kd/ahr_malcl_v15_1_final_ablation_critic5_az_k100_plus_kd_results.json,az_class,plus_kd,ablation,100,44,True,True,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/plus_kd/ahr_malcl_v15_1_final_ablation_critic5_az_k100_plus_kd_results.json,az_class,plus_kd,ablation,100,45,True,True,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/plus_kd/ahr_malcl_v15_1_final_ablation_critic5_az_k100_plus_kd_results.json,az_class,plus_kd,ablation,100,46,True,True,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/real_buffer_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_real_buffer_only_results.json,az_class,real_buffer_only,ablation,100,42,True,True,True,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/real_buffer_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_real_buffer_only_results.json,az_class,real_buffer_only,ablation,100,43,True,True,True,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/real_buffer_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_real_buffer_only_results.json,az_class,real_buffer_only,ablation,100,44,True,True,True,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/real_buffer_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_real_buffer_only_results.json,az_class,real_buffer_only,ablation,100,45,True,True,True,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/real_buffer_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_real_buffer_only_results.json,az_class,real_buffer_only,ablation,100,46,True,True,True,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,az_class,wgan_projection_generated_only,ablation,100,42,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,az_class,wgan_projection_generated_only,ablation,100,43,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,az_class,wgan_projection_generated_only,ablation,100,44,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
