dataset,k,n,seeds,mean_acc_seen,mean_acc_seen_std,final_taskwise_average_accuracy,final_taskwise_average_accuracy_std,forgetting,forgetting_std,macro_f1,macro_f1_std,balanced_accuracy,balanced_accuracy_std,old_class_accuracy,old_class_accuracy_std,new_class_accuracy,new_class_accuracy_std,memory_MB,memory_MB_std,real_buffer_MB,real_buffer_MB_std,generated_replay_MB,generated_replay_MB_std,mmd_real_generated,mmd_real_generated_std,wasserstein_real_generated,wasserstein_real_generated_std,accuracy_gain_vs_k0,final_accuracy_gain_vs_k0,forgetting_reduction_vs_k0,memory_overhead_vs_k0,accuracy_gain_per_MB,forgetting_reduction_per_MB,mmd_reduction_percent,wasserstein_reduction_percent
az_class,0,1,42,0.4071859046804425,,0.2667056505619286,,0.7399122500203741,,0.1935020593510419,,0.2314630631776107,,0.1532445493783893,,0.8326446280991735,,427.9847030639648,,0.0,,69.83757019042969,,0.1073125600814819,,0.2331268191337585,,0.0,0.0,0.0,0.0,,,0.0,0.0
az_class,10,1,42,0.554406527078801,,0.4299349200528748,,0.5172052590059896,,0.3739236121097786,,0.4998223410422621,,0.3488397830818607,,0.6790633608815427,,437.2963790893554,,9.311676025390623,,69.83757019042969,,0.0440545082092285,,0.1199094727635383,,0.14722062239835848,0.16322926949094624,0.22270699101438451,9.311676025390625,0.01581032480048967,0.023916960857220327,58.94748184576146,48.56470259016435
az_class,25,1,42,0.6200849545121578,,0.5189256437859867,,0.3782893287577787,,0.4431158577031104,,0.6093989593272142,,0.4621315527354558,,0.5743801652892562,,451.2638931274414,,23.27919006347656,,69.83757019042969,,0.0149844884872436,,0.0777808874845504,,0.21289904983171531,0.25221999322405814,0.3616229212625954,23.27919006347662,0.009145466369370758,0.015534171089137495,86.03659396824943,66.63580459186767
az_class,50,1,42,0.6576896448154413,,0.6041675130518714,,0.2579211657560537,,0.4929279580816413,,0.6827825698105996,,0.5395285350647434,,0.4242424242424242,,474.543083190918,,46.558380126953125,,69.83757019042969,,0.003333568572998,,0.0449952408671379,,0.2505037401349988,0.33746186248994287,0.48199108426432036,46.55838012695324,0.005380422159274803,0.010352402359146718,96.89358955702218,80.69924299815479
az_class,100,1,42,0.6951445539312577,,0.6418907448204677,,0.2082940880876304,,0.5664708507685939,,0.7486957479730948,,0.5949016859113883,,0.4524793388429752,,521.1014633178711,,93.11676025390624,,69.83757019042969,,0.0025649070739746,,0.042301245033741,,0.2879586492508152,0.37518509425853913,0.5316181619327437,93.1167602539063,0.0030924470360182573,0.005709156552302215,97.60987243988302,81.85483541064819
az_class,150,1,42,0.7185509930410757,,0.6516169801986395,,0.1774875700089554,,0.6090280874511349,,0.7842292984700994,,0.6264064632751688,,0.4214876033057851,,567.6598434448242,,139.67514038085938,,69.83757019042969,,0.0046675205230712,,0.0556777417659759,,0.3113650883606332,0.3849113296367109,0.5624246800114187,139.67514038085943,0.00222920905976266,0.00402666271519632,95.65053660118892,76.11697273918952
az_class,200,1,42,0.7340210085543659,,0.687708004779187,,0.1221564328060928,,0.63550890276011,,0.8014895020348528,,0.6671339506400561,,0.3973829201101928,,613.8643798828125,,185.87967681884768,,69.83757019042969,,0.0032809972763061,,0.043299376964569,,0.3268351038739234,0.42100235421725846,0.6177558172142813,185.8796768188477,0.0017583154299996241,0.003323417749517211,96.9425785072923,81.42668564455228
ember,0,1,42,0.4717018301125635,,0.4062110773169964,,0.5883950574218784,,0.2279510396168722,,0.2773548930318658,,0.1920725215222218,,0.96028880866426,,418.216911315918,,0.0,,68.17817687988281,,0.0737733840942382,,0.2156757265329361,,0.0,0.0,0.0,0.0,,,0.0,0.0
ember,10,1,42,0.7286644123940026,,0.5924023508096722,,0.3493835961474346,,0.4750250184380658,,0.5733712467760615,,0.5133087944513735,,0.9386281588447654,,427.3073348999024,,9.090423583984377,,68.17817687988281,,0.0142686367034912,,0.0914293825626373,,0.2569625822814391,0.18619127349267578,0.23901146127444378,9.090423583984375,0.02826739369265026,0.026292664919986483,80.65882854815982,57.60794038698879
ember,25,1,42,0.769838548302572,,0.6769231926211742,,0.2330881845550917,,0.5499592916408994,,0.6571561965173492,,0.6296048428801753,,0.8796630565583634,,440.9429702758789,,22.726058959960938,,68.17817687988281,,0.0039253234863281,,0.0508394911885261,,0.29813671819000853,0.27071211530417777,0.35530687286678664,22.72605895996088,0.013118716215392663,0.015634337369834855,94.67921455071942,76.4278103958248
ember,50,1,42,0.7895689921350122,,0.6855361043447282,,0.2004958796236236,,0.5871748595936052,,0.6972166235624315,,0.6571350348310163,,0.8483754512635379,,463.66902923583984,,45.45211791992188,,68.17817687988281,,0.0026475191116333,,0.0493467263877391,,0.3178671620224487,0.2793250270277318,0.3878991777982548,45.45211791992182,0.006993451055074519,0.008534237689026086,96.41128146127693,77.11994428811937
ember,100,1,42,0.8117895454219504,,0.724358590365041,,0.1435128150957095,,0.6266638267517698,,0.7347282029241672,,0.7108265141605573,,0.8664259927797834,,509.1211471557617,,90.90423583984376,,68.17817687988281,,0.0023353099822998,,0.0430232658982276,,0.34008771530938686,0.3181475130480446,0.44488224232616885,90.9042358398437,0.0037411646681520757,0.0048939660315716026,96.83448168879352,80.05187389891208
