dataset,method,setting_type,k,result_validity,paper_use_category,validity_reason,metric,n,mean,std,se,ci95_low,ci95_high,median,min,max,seeds
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,gpu_peak_memory_MB,1,2862.6552734375,,,,,2862.6552734375,2862.6552734375,2862.6552734375,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,elapsed_minutes,1,52.93184698025386,,,,,52.93184698025386,52.93184698025386,52.93184698025386,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,mean_acc_seen,1,0.6200849545121578,,,,,0.6200849545121578,0.6200849545121578,0.6200849545121578,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,min_acc_seen,1,0.467838509751742,,,,,0.467838509751742,0.467838509751742,0.467838509751742,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,final_taskwise_average_accuracy,1,0.5189256437859867,,,,,0.5189256437859867,0.5189256437859867,0.5189256437859867,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,forgetting,1,0.3782893287577787,,,,,0.3782893287577787,0.3782893287577787,0.3782893287577787,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,macro_f1,1,0.4431158577031104,,,,,0.4431158577031104,0.4431158577031104,0.4431158577031104,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,weighted_f1,1,0.4592210335718287,,,,,0.4592210335718287,0.4592210335718287,0.4592210335718287,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,balanced_accuracy,1,0.6093989593272142,,,,,0.6093989593272142,0.6093989593272142,0.6093989593272142,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,old_class_accuracy,1,0.4621315527354558,,,,,0.4621315527354558,0.4621315527354558,0.4621315527354558,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,new_class_accuracy,1,0.5743801652892562,,,,,0.5743801652892562,0.5743801652892562,0.5743801652892562,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,plasticity_stability_gap,1,0.1122486125538003,,,,,0.1122486125538003,0.1122486125538003,0.1122486125538003,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,mmd_real_generated,1,0.0149844884872436,,,,,0.0149844884872436,0.0149844884872436,0.0149844884872436,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,wasserstein_real_generated,1,0.0777808874845504,,,,,0.0777808874845504,0.0777808874845504,0.0777808874845504,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,memory_MB,1,451.2638931274414,,,,,451.2638931274414,451.2638931274414,451.2638931274414,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,gpu_peak_memory_MB,1,2862.6552734375,,,,,2862.6552734375,2862.6552734375,2862.6552734375,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,elapsed_minutes,1,55.37244000434875,,,,,55.37244000434875,55.37244000434875,55.37244000434875,42
az_class,hybrid_random_buffer,memory_budget,50,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,mean_acc_seen,1,0.6576896448154413,,,,,0.6576896448154413,0.6576896448154413,0.6576896448154413,42
az_class,hybrid_random_buffer,memory_budget,50,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,min_acc_seen,1,0.5336671452081656,,,,,0.5336671452081656,0.5336671452081656,0.5336671452081656,42
az_class,hybrid_random_buffer,memory_budget,50,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,final_taskwise_average_accuracy,1,0.6041675130518714,,,,,0.6041675130518714,0.6041675130518714,0.6041675130518714,42
az_class,hybrid_random_buffer,memory_budget,50,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,forgetting,1,0.2579211657560537,,,,,0.2579211657560537,0.2579211657560537,0.2579211657560537,42
az_class,hybrid_random_buffer,memory_budget,50,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,macro_f1,1,0.4929279580816413,,,,,0.4929279580816413,0.4929279580816413,0.4929279580816413,42
az_class,hybrid_random_buffer,memory_budget,50,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,weighted_f1,1,0.5311293905324685,,,,,0.5311293905324685,0.5311293905324685,0.5311293905324685,42
az_class,hybrid_random_buffer,memory_budget,50,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,balanced_accuracy,1,0.6827825698105996,,,,,0.6827825698105996,0.6827825698105996,0.6827825698105996,42
