dataset,setting_type,k,metric,comparison_family,comparison_label,method_a,method_b,n_pairs,seeds,mean_a,mean_b,mean_difference_a_minus_b,percent_improvement,ci95_low_difference,ci95_high_difference,cohens_dz,paired_t_p_value,paired_t_holm_p_value,paired_t_holm_reject_0_05
az_class,ablation,100,mean_acc_seen,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.3213283259658336,0.13780366910759403,0.18352465685823963,133.17835297618063,0.132698214091691,0.23435109962478826,4.483413491088383,0.0005565498230261728,0.03668311272750348,True
az_class,ablation,100,final_taskwise_average_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.28016532717304365,0.08946671364087032,0.19069861353217338,213.15035030532079,0.08040721888903604,0.30099000817531074,2.146891003567577,0.008644406584790794,0.337131856806841,False
az_class,ablation,100,forgetting,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.7313132700246685,0.9629409859866392,-0.2316277159619708,24.054196397574934,-0.34465672544271386,-0.11859870648122772,-2.5445131052408807,0.004712584651028177,0.19321597069215526,False
az_class,ablation,100,macro_f1,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.18183120670074446,0.0063446267537367994,0.17548657994700764,2765.908646141417,0.10862658221526406,0.24234657767875123,3.2589795973722313,0.0018846908019943473,0.09988861250570041,False
az_class,ablation,100,balanced_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.22447476976841924,0.051133244194753305,0.17334152557366594,338.9996631417574,0.09650950826693473,0.25017354288039717,2.8013312580259653,0.003313941914020802,0.1524413280449569,False
az_class,ablation,100,old_class_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.12036242410029092,0.0002742569120154,0.1200881671882755,43786.74225776026,0.05617779707812952,0.18399853729842147,2.333097955010664,0.006440828263154284,0.25763313052617137,False
az_class,ablation,100,new_class_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.9516839674814603,0.978260834176558,-0.026576866695097533,-2.716746471555151,-0.08062334954120105,0.027469616151005988,-0.6105769852652375,0.24390423375361253,1.0,False
az_class,ablation,100,mean_acc_seen,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.733612271481358,0.3213283259658336,0.4122839455155244,128.30613182834122,0.36268718888311835,0.4618807021479304,10.321605019017449,2.0883649582585854e-05,0.0031325474373878784,True
az_class,ablation,100,final_taskwise_average_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7129473423550008,0.28016532717304365,0.4327820151819572,154.47379572228436,0.3271966606551805,0.5383673697087339,5.089435459396338,0.0003400177847420044,0.028722348928988797,True
az_class,ablation,100,forgetting,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.12891016499330907,0.7313132700246685,-0.6024031050313594,82.37278464959883,-0.7263181695937507,-0.4784880404689681,-6.03624951143039,0.00017434719850877795,0.017260372652369016,True
az_class,ablation,100,macro_f1,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.6404831115244924,0.18183120670074446,0.4586519048237479,252.24047793874655,0.388569703397182,0.5287341062503138,8.12605121321647,5.394786338263559e-05,0.00685137864959472,True
az_class,ablation,100,balanced_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7959336956981928,0.22447476976841924,0.5714589259297735,254.57601605709303,0.49629326880325325,0.6466245830562939,9.439949065899153,2.977572649775954e-05,0.004049498803695297,True
az_class,ablation,100,old_class_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.6743425697823894,0.12036242410029092,0.5539801456820985,460.2600436333015,0.4847699866052312,0.6231903047589659,9.938673914174634,2.4269332434631585e-05,0.0035918612003254745,True
az_class,ablation,100,new_class_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7388623782823497,0.9516839674814603,-0.21282158919911062,-22.362632604006393,-0.4132475965487233,-0.01239558184949796,-1.3184561666595382,0.04204633290175751,1.0,False
az_class,ablation,100,mmd_real_generated,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.002566123008728,0.11341314315795892,-0.11084702014923091,97.73736717167431,-0.141796261639526,-0.07989777865893583,-4.447112355584743,0.0005743439716132744,0.03675801418324956,True
az_class,ablation,100,wasserstein_real_generated,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.05320556163787839,0.32643889188766473,-0.27323333024978635,83.701218525093,-0.33350135225085087,-0.21296530824872184,-5.629253757066837,0.00022927247561261438,0.021322340231973137,True
az_class,ablation,100,mean_acc_seen,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.733612271481358,0.6826763201899329,0.05093595129142521,7.461215481628811,0.04094838481532284,0.06092351776752758,6.3324071067915,0.0001444214154121384,0.014586562956625979,True
az_class,ablation,100,final_taskwise_average_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7129473423550008,0.6182264901486836,0.09472085220631718,15.321383621645982,0.06930428104996227,0.1201374233626721,4.627353994378475,0.0004923906509021956,0.03509758914328124,True
az_class,ablation,100,forgetting,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.12891016499330907,0.183044364624588,-0.05413419963127895,29.574360151597475,-0.09275760416507067,-0.015510795097487227,-1.7403045527725727,0.01766905152657936,0.6178862256912582,False
az_class,ablation,100,macro_f1,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.6404831115244924,0.5522603396107886,0.08822277191370376,15.974852001119583,0.06415408482472415,0.11229145900268336,4.551267765541931,0.0005250871604423069,0.03623101407051918,True
az_class,ablation,100,balanced_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7959336956981928,0.7516389140112023,0.044294781686990484,5.893093194258216,0.03444897153791242,0.05414059183606855,5.586054869662651,0.00023629659450036624,0.021322340231973137,True
az_class,ablation,100,old_class_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.6743425697823894,0.5738355747241142,0.10050699505827514,17.514946699949103,0.07531518498906092,0.12569880512748935,4.953828922519997,0.0003777565375951254,0.029480907852661574,True
az_class,ablation,100,new_class_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7388623782823497,0.6971303476275922,0.04173203065475749,5.986259355481509,-0.005273013516630336,0.08873707482614532,1.1023744568139255,0.06931913155822292,1.0,False
az_class,ablation,100,mean_acc_seen,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.6710760554931986,0.733612271481358,-0.06253621598815944,-8.524423379925498,-0.07230698413429824,-0.05276544784202063,-7.947068932044746,5.892095638319672e-05,0.007247277635133197,True
