f1-score,label,precision,recall,support
0.25396825396825395,0,0.1875,0.39344262295081966,61.0
0.9727626459143969,1,0.946969696969697,1.0,125.0
0.8611111111111112,2,0.8266666666666667,0.8985507246376812,69.0
0.6690140845070423,3,0.6551724137931034,0.6834532374100719,139.0
0.9421487603305785,4,0.9047619047619048,0.9827586206896551,174.0
0.9910979228486647,5,0.9940476190476191,0.9881656804733728,169.0
0.4702467343976778,6,0.4764705882352941,0.46418338108882523,349.0
1.0,7,1.0,1.0,62.0
0.3674976915974146,8,0.7624521072796935,0.24209245742092458,822.0
0.9896329504062763,9,0.9974583451002542,0.9819293855991104,3597.0
0.9477054429028815,10,0.9548387096774194,0.940677966101695,472.0
0.8148148148148148,11,0.8844221105527639,0.7553648068669528,233.0
0.9185185185185185,12,0.8493150684931506,1.0,62.0
0.8641304347826086,13,0.803030303030303,0.9352941176470588,170.0
0.8529411764705882,14,0.7733333333333333,0.9508196721311475,61.0
0.9549660703269587,15,0.9904030710172744,0.9219773674806433,1679.0
0.9242424242424242,16,0.8591549295774648,1.0,61.0
1.0,17,1.0,1.0,81.0
0.9978768577494692,18,0.9971711456859972,0.9985835694050992,706.0
0.7463917525773196,19,0.7637130801687764,0.7298387096774194,248.0
0.5919003115264797,20,0.45454545454545453,0.8482142857142857,112.0
1.0,21,1.0,1.0,54.0
0.6306306306306306,22,0.9859154929577465,0.46357615894039733,302.0
0.8292682926829268,23,0.8263888888888888,0.8321678321678322,143.0
0.954248366013072,24,0.9240506329113924,0.9864864864864865,74.0
0.9584664536741214,25,0.9533898305084746,0.9635974304068522,467.0
0.9171270718232044,26,0.8645833333333334,0.9764705882352941,170.0
0.82,27,0.7321428571428571,0.9318181818181818,44.0
0.97736057426836,28,0.9955005624296963,0.9598698481561823,922.0
0.954248366013072,29,0.948051948051948,0.9605263157894737,76.0
0.9045751633986928,30,0.9584487534626038,0.8564356435643564,808.0
0.9964664310954063,31,0.9929577464788732,1.0,141.0
0.5657894736842105,32,0.4215686274509804,0.86,50.0
0.4328097731239092,33,0.4305555555555556,0.43508771929824563,285.0
0.7476635514018691,34,0.6451612903225806,0.8888888888888888,45.0
0.0318118948824343,35,0.8518518518518519,0.01620859760394644,1419.0
0.66,36,0.6,0.7333333333333333,90.0
0.9595959595959596,37,0.9313725490196079,0.9895833333333334,96.0
0.8518518518518519,38,0.8702702702702703,0.8341968911917098,193.0
0.9907502569373073,39,0.9979296066252588,0.9836734693877551,490.0
0.24705882352941178,40,0.21875,0.28378378378378377,148.0
0.7763713080168776,41,0.6865671641791045,0.8932038834951457,206.0
0.9912967798085291,42,0.9991228070175439,0.9835924006908463,1158.0
0.9024390243902439,43,0.8604651162790697,0.9487179487179487,39.0
0.658273381294964,44,0.6879699248120301,0.6310344827586207,290.0
