f1-score,label,precision,recall,support
0.9587020648967551,0,0.9530791788856305,0.9643916913946587,337.0
0.41237113402061853,1,0.2857142857142857,0.7407407407407407,27.0
0.603415559772296,2,0.8195876288659794,0.4774774774774775,999.0
0.9259259259259259,3,0.8620689655172413,1.0,25.0
0.7399130974549969,4,0.9738562091503268,0.5965965965965966,999.0
0.5557386051619989,5,0.6163215590742996,0.506,1000.0
0.7403846153846154,6,0.6363636363636364,0.8850574712643678,87.0
0.14414414414414414,7,0.6956521739130435,0.08040201005025126,995.0
0.831275720164609,8,0.7426470588235294,0.9439252336448598,107.0
0.7430340557275542,9,0.7361963190184049,0.75,480.0
0.9970089730807578,10,0.9940357852882704,1.0,1000.0
0.9496402877697842,11,0.9041095890410958,1.0,66.0
0.9276111685625646,12,0.9593582887700535,0.8978978978978979,999.0
0.9670710571923743,13,0.9755244755244755,0.9587628865979382,291.0
0.6774193548387096,14,0.5121951219512195,1.0,42.0
0.8707865168539326,15,0.7711442786069652,1.0,155.0
0.9777777777777777,16,0.9565217391304348,1.0,44.0
0.8447368421052631,17,0.8025,0.8916666666666667,360.0
0.8627450980392157,18,0.7857142857142857,0.9565217391304348,115.0
0.6436781609195402,19,0.5,0.9032258064516129,31.0
0.509090909090909,20,0.345679012345679,0.9655172413793104,29.0
0.862453531598513,21,0.8,0.9354838709677419,124.0
0.9347679892400808,22,0.9366576819407008,0.9328859060402684,745.0
0.8471177944862155,23,0.7511111111111111,0.9712643678160919,174.0
1.0,24,1.0,1.0,21.0
0.8505747126436781,25,0.7551020408163265,0.9736842105263158,38.0
0.9248334919124643,26,0.9,0.9510763209393346,511.0
0.9226145755071374,27,0.9136904761904762,0.9317147192716236,659.0
0.8026243849097867,28,0.8822115384615384,0.7362086258776329,997.0
0.8450704225352113,29,0.7894736842105263,0.9090909090909091,33.0
0.9782608695652174,30,1.0,0.9574468085106383,47.0
0.6083018867924528,31,0.7632575757575758,0.5056461731493099,797.0
0.7251461988304093,32,0.6078431372549019,0.8985507246376812,69.0
0.6013986013986014,33,0.4942528735632184,0.7678571428571429,168.0
0.6133333333333333,34,0.46,0.92,25.0
0.9484536082474226,35,0.9787234042553191,0.92,50.0
0.7409638554216867,36,0.8661971830985915,0.6473684210526316,190.0
0.8854166666666666,37,0.8173076923076923,0.9659090909090909,88.0
0.7519426180514046,38,0.9318518518518518,0.6302605210420842,998.0
0.7294117647058823,39,0.5961538461538461,0.9393939393939394,33.0
0.8347529812606473,40,0.7492354740061162,0.9423076923076923,260.0
0.940625,41,0.9066265060240963,0.9772727272727273,308.0
0.4888888888888889,42,0.3402061855670103,0.868421052631579,38.0
0.7827669902912622,43,0.9953703703703703,0.645,1000.0
0.8421052631578947,44,0.7272727272727273,1.0,24.0
0.9801980198019802,45,0.9611650485436893,1.0,99.0
0.7696476964769647,46,0.7845303867403315,0.7553191489361702,188.0
0.9557522123893806,47,0.9152542372881356,1.0,54.0
0.9025641025641026,48,0.8543689320388349,0.9565217391304348,92.0
0.4751580849141825,49,0.6059907834101382,0.39078751857355126,673.0
0.8208955223880597,50,0.8789954337899544,0.77,1000.0
0.43278688524590164,51,0.28085106382978725,0.9428571428571428,70.0
0.972568578553616,52,0.9466019417475728,1.0,195.0
0.9148936170212766,53,0.8431372549019608,1.0,43.0
0.9056603773584906,54,0.8780487804878049,0.935064935064935,77.0
0.9163710086163204,55,0.9290853031860226,0.904,1000.0
0.6180555555555556,56,0.6691729323308271,0.5741935483870968,155.0
0.7571428571428571,57,0.6091954022988506,1.0,53.0
0.18360655737704917,58,0.10144927536231885,0.9655172413793104,29.0
0.6233766233766234,59,0.4752475247524752,0.9056603773584906,53.0
0.7951176983435048,60,0.8958742632612967,0.7147335423197492,638.0
0.43559718969555034,61,0.3184931506849315,0.6888888888888889,135.0
0.9105691056910569,62,0.8484848484848485,0.9824561403508771,57.0
0.9844559585492227,63,0.9693877551020408,1.0,95.0
0.1006036217303823,64,0.3787878787878788,0.058004640371229696,431.0
0.5567010309278351,65,0.391304347826087,0.9642857142857143,84.0
0.8085106382978723,66,0.6867469879518072,0.9827586206896551,58.0
0.573170731707317,67,0.43119266055045874,0.8545454545454545,55.0
0.6050704225352113,68,0.6920103092783505,0.5375375375375375,999.0
0.8631578947368421,69,0.7735849056603774,0.9761904761904762,42.0
0.6527777777777778,70,0.49473684210526314,0.9591836734693877,49.0
0.5806451612903226,71,0.44505494505494503,0.8350515463917526,97.0
0.5790754257907542,72,0.68,0.5042372881355932,472.0
0.37037037037037035,73,0.2912621359223301,0.5084745762711864,59.0
0.4246575342465753,74,0.2719298245614035,0.96875,32.0
0.3333333333333333,75,0.22807017543859648,0.6190476190476191,21.0
0.35051546391752575,76,0.24285714285714285,0.6296296296296297,27.0
0.8360655737704918,77,0.9592476489028213,0.7409200968523002,413.0
0.7922077922077922,78,0.7577639751552795,0.8299319727891157,147.0
0.8163265306122449,79,0.6896551724137931,1.0,20.0
0.7166085946573751,80,0.849862258953168,0.6194779116465864,996.0
0.1925343811394892,81,0.1074561403508772,0.9245283018867925,53.0
0.6862745098039216,82,0.5691056910569106,0.8641975308641975,81.0
0.4236453201970443,83,0.27388535031847133,0.9347826086956522,46.0
0.9247311827956989,84,0.8865979381443299,0.9662921348314607,89.0
0.4666666666666667,85,0.31343283582089554,0.9130434782608695,23.0
0.4717948717948718,86,0.3150684931506849,0.9387755102040817,49.0
0.8620689655172413,87,0.7575757575757576,1.0,25.0
0.9777777777777777,88,0.9705882352941176,0.9850746268656716,67.0
0.8340206185567011,89,0.8597236981934112,0.8098098098098098,999.0
0.7211634904714143,90,0.7226130653266332,0.7197197197197197,999.0
0.36496350364963503,91,0.22522522522522523,0.9615384615384616,26.0
0.5269461077844312,92,0.36213991769547327,0.967032967032967,91.0
0.9882352941176471,93,0.9767441860465116,1.0,84.0
0.14754098360655737,94,0.07964601769911504,1.0,27.0
0.7307692307692307,95,0.5862068965517241,0.96996996996997,333.0
0.7915057915057915,96,0.657051282051282,0.9951456310679612,206.0
0.5301204819277109,97,0.3728813559322034,0.9166666666666666,24.0
0.6543046357615894,98,0.4888668975754577,0.988988988988989,999.0
0.819047619047619,99,0.7166666666666667,0.9555555555555556,45.0
0.7177262348019197,macro avg,0.6806169213225014,0.8533017562664595,28559.0
0.7338756835110387,weighted avg,0.7948103316094907,0.7327287370005953,28559.0
