dataset,setting_type,k,metric,comparison_family,comparison_label,method_a,method_b,n_pairs,seeds,mean_a,mean_b,mean_difference_a_minus_b,percent_improvement,ci95_low_difference,ci95_high_difference,cohens_dz
az_class,ablation,100,mean_acc_seen,main_ablation_reference,hybrid_random_buffer vs classifier_real_only,hybrid_random_buffer,classifier_real_only,5,"42,43,44,45,46",0.733612271481358,0.13780366910759403,0.595808602373764,432.36047794095373,0.5812456554929313,0.6103715492545967,50.799752099713835
az_class,ablation,100,final_taskwise_average_accuracy,main_ablation_reference,hybrid_random_buffer vs classifier_real_only,hybrid_random_buffer,classifier_real_only,5,"42,43,44,45,46",0.7129473423550008,0.08946671364087032,0.6234806287141306,696.8855827395801,0.610056348061563,0.6369049093666982,57.6681514851757
az_class,ablation,100,forgetting,main_ablation_reference,hybrid_random_buffer vs classifier_real_only,hybrid_random_buffer,classifier_real_only,5,"42,43,44,45,46",0.12891016499330907,0.9629409859866392,-0.8340308209933301,86.61286964940781,-0.8582686884450675,-0.8097929535415928,-42.725955403535835
az_class,ablation,100,macro_f1,main_ablation_reference,hybrid_random_buffer vs classifier_real_only,hybrid_random_buffer,classifier_real_only,5,"42,43,44,45,46",0.6404831115244924,0.0063446267537367994,0.6341384847707556,9994.890312456388,0.6207033165707272,0.6475736529707841,58.606406313071986
az_class,ablation,100,balanced_accuracy,main_ablation_reference,hybrid_random_buffer vs classifier_real_only,hybrid_random_buffer,classifier_real_only,5,"42,43,44,45,46",0.7959336956981928,0.051133244194753305,0.7448004515034394,1456.5875160721023,0.7410939960984688,0.74850690690841,249.50844012247347
az_class,ablation,100,old_class_accuracy,main_ablation_reference,hybrid_random_buffer vs classifier_real_only,hybrid_random_buffer,classifier_real_only,5,"42,43,44,45,46",0.6743425697823894,0.0002742569120154,0.6740683128703739,245779.8813225622,0.6652851664767384,0.6828514592640095,95.29231540847162
az_class,ablation,100,new_class_accuracy,main_ablation_reference,hybrid_random_buffer vs classifier_real_only,hybrid_random_buffer,classifier_real_only,5,"42,43,44,45,46",0.7388623782823497,0.978260834176558,-0.23939845589420816,-24.47184304334536,-0.4789210851712731,0.00012417338285672375,-1.2410202944355908
az_class,ablation,100,mean_acc_seen,main_ablation_reference,hybrid_random_buffer vs malcl_like,hybrid_random_buffer,malcl_like,5,"42,43,44,45,46",0.733612271481358,0.23674206204075574,0.4968702094406023,209.878297568881,0.46657644505414275,0.5271639738270618,20.365440325340284
az_class,ablation,100,final_taskwise_average_accuracy,main_ablation_reference,hybrid_random_buffer vs malcl_like,hybrid_random_buffer,malcl_like,5,"42,43,44,45,46",0.7129473423550008,0.14867544322453524,0.5642718991304656,379.5326833351228,0.5306893656091713,0.5978544326517599,20.863110339906356
az_class,ablation,100,forgetting,main_ablation_reference,hybrid_random_buffer vs malcl_like,hybrid_random_buffer,malcl_like,5,"42,43,44,45,46",0.12891016499330907,0.8722509386959125,-0.7433407737026034,85.22097721258513,-0.7848140701717057,-0.7018674772335012,-22.254789362863306
az_class,ablation,100,macro_f1,main_ablation_reference,hybrid_random_buffer vs malcl_like,hybrid_random_buffer,malcl_like,5,"42,43,44,45,46",0.6404831115244924,0.04179645781038088,0.5986866537141114,1432.3861041770322,0.5726063286724438,0.6247669787557791,28.503006114158506
az_class,ablation,100,balanced_accuracy,main_ablation_reference,hybrid_random_buffer vs malcl_like,hybrid_random_buffer,malcl_like,5,"42,43,44,45,46",0.7959336956981928,0.08766219775872516,0.7082714979394676,807.9554426514161,0.6869350590085173,0.729607936870418,41.217525698236
az_class,ablation,100,old_class_accuracy,main_ablation_reference,hybrid_random_buffer vs malcl_like,hybrid_random_buffer,malcl_like,5,"42,43,44,45,46",0.6743425697823894,0.05390797830629176,0.6204345914760976,1150.9142263709875,0.5772320326077761,0.6636371503444191,17.831612655726516
az_class,ablation,100,new_class_accuracy,main_ablation_reference,hybrid_random_buffer vs malcl_like,hybrid_random_buffer,malcl_like,5,"42,43,44,45,46",0.7388623782823497,0.9406461117262497,-0.20178373344390002,-21.451609795483197,-0.40286472332819,-0.0007027435596100584,-1.2460034008416736
az_class,ablation,100,mmd_real_generated,main_ablation_reference,hybrid_random_buffer vs malcl_like,hybrid_random_buffer,malcl_like,5,"42,43,44,45,46",0.002566123008728,0.06835167407989497,-0.06578555107116696,96.24570569298932,-0.09016389301983012,-0.0414072091225038,-3.350660620770495
az_class,ablation,100,wasserstein_real_generated,main_ablation_reference,hybrid_random_buffer vs malcl_like,hybrid_random_buffer,malcl_like,5,"42,43,44,45,46",0.05320556163787839,0.23560064435005185,-0.18239508271217347,77.41705597425008,-0.19561305350420136,-0.1691771119201456,-17.13375004502928
az_class,ablation,100,mean_acc_seen,main_ablation_reference,hybrid_random_buffer vs wgan_projection_generated_only,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.733612271481358,0.3213283259658336,0.4122839455155244,128.30613182834122,0.36268718888311835,0.4618807021479304,10.321605019017449
az_class,ablation,100,final_taskwise_average_accuracy,main_ablation_reference,hybrid_random_buffer vs wgan_projection_generated_only,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7129473423550008,0.28016532717304365,0.4327820151819572,154.47379572228436,0.3271966606551805,0.5383673697087339,5.089435459396338
az_class,ablation,100,forgetting,main_ablation_reference,hybrid_random_buffer vs wgan_projection_generated_only,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.12891016499330907,0.7313132700246685,-0.6024031050313594,82.37278464959883,-0.7263181695937507,-0.4784880404689681,-6.03624951143039
az_class,ablation,100,macro_f1,main_ablation_reference,hybrid_random_buffer vs wgan_projection_generated_only,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.6404831115244924,0.18183120670074446,0.4586519048237479,252.24047793874655,0.388569703397182,0.5287341062503138,8.12605121321647
az_class,ablation,100,balanced_accuracy,main_ablation_reference,hybrid_random_buffer vs wgan_projection_generated_only,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7959336956981928,0.22447476976841924,0.5714589259297735,254.57601605709303,0.49629326880325325,0.6466245830562939,9.439949065899153
az_class,ablation,100,old_class_accuracy,main_ablation_reference,hybrid_random_buffer vs wgan_projection_generated_only,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.6743425697823894,0.12036242410029092,0.5539801456820985,460.2600436333015,0.4847699866052312,0.6231903047589659,9.938673914174634
az_class,ablation,100,new_class_accuracy,main_ablation_reference,hybrid_random_buffer vs wgan_projection_generated_only,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7388623782823497,0.9516839674814603,-0.21282158919911062,-22.362632604006393,-0.4132475965487233,-0.01239558184949796,-1.3184561666595382
az_class,ablation,100,mmd_real_generated,main_ablation_reference,hybrid_random_buffer vs wgan_projection_generated_only,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.002566123008728,0.11341314315795892,-0.11084702014923091,97.73736717167431,-0.141796261639526,-0.07989777865893583,-4.447112355584743
az_class,ablation,100,wasserstein_real_generated,main_ablation_reference,hybrid_random_buffer vs wgan_projection_generated_only,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.05320556163787839,0.32643889188766473,-0.27323333024978635,83.701218525093,-0.33350135225085087,-0.21296530824872184,-5.629253757066837
az_class,ablation,100,mean_acc_seen,main_ablation_reference,hybrid_random_buffer vs real_buffer_only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.733612271481358,0.6826763201899329,0.05093595129142521,7.461215481628811,0.04094838481532284,0.06092351776752758,6.3324071067915
