accuracy,class_id
0.6286286286286287,0
0.531,1
1.0,2
0.9795918367346939,3
1.0,4
0.9329329329329329,5
1.0,6
0.9757281553398058,7
1.0,8
0.8928928928928929,9
0.92,10
0.6526104417670683,11
0.9393939393939394,12
0.8916666666666667,13
0.7391304347826086,14
0.9495548961424333,15
0.9503355704697987,16
0.6933867735470942,17
0.9655172413793104,18
0.8867924528301887,19
0.9626168224299065,20
0.4576271186440678,21
0.9772727272727273,22
0.9072164948453608,23
0.6253918495297806,24
0.9805194805194806,25
0.9574468085106383,26
1.0,27
0.6986986986986987,28
0.9425287356321839,29
0.7263157894736842,30
1.0,31
0.945054945054945,32
1.0,33
0.9245283018867925,34
0.9249394673123487,35
0.9404761904761905,36
0.0743718592964824,37
0.9850746268656716,38
0.6930792377131394,39
0.9612903225806452,40
0.9183673469387755,41
0.08584686774941995,42
0.93,43
0.8338338338338338,44
0.5169491525423728,45
0.9777777777777777,46
1.0,47
0.965,48
0.9135802469135802,49
1.0,50
0.9761904761904762,51
0.3135215453194651,52
0.9887640449438202,53
0.9354838709677419,54
0.9655172413793104,55
0.913894324853229,56
0.9534883720930233,57
0.9130434782608695,58
0.9811320754716981,59
0.9,60
0.8937784522003035,61
0.8947368421052632,62
0.7166666666666667,63
1.0,64
0.922077922077922,65
0.927536231884058,66
0.7037037037037037,67
1.0,68
0.9069069069069069,69
0.9391304347826087,70
0.8181818181818182,71
0.5555555555555556,72
0.625,73
1.0,74
0.6645161290322581,75
1.0,76
0.9210526315789473,77
0.96875,78
0.9090909090909091,79
1.0,80
1.0,81
0.6542553191489362,82
0.6496496496496497,83
0.5031367628607277,84
0.794,85
1.0,86
0.7947947947947948,87
1.0,88
1.0,89
0.7037037037037037,90
0.9553264604810997,91
0.9461538461538461,92
0.5714285714285714,93
0.9183673469387755,94
1.0,95
1.0,96
0.9310344827586207,97
0.9629629629629629,98
0.967741935483871,99
