task_id,task_number,seen_classes,seen_average_accuracy,final_task_accuracy,macro_f1,weighted_f1,balanced_accuracy,old_class_accuracy,new_class_accuracy,taskwise_accuracies
0,1,50,0.689293212036389,0.5333799860041988,0.6591216267553541,0.6630946603811411,0.813307193581272,,0.689293212036389,[0.689293212036389]
1,2,55,0.5510834592401073,0.038391224862888484,0.6247727387329807,0.6335961567886227,0.7683590573494583,0.6762071378586424,0.4259597806215722,"[0.6762071378586424, 0.4259597806215722]"
2,3,60,0.575793952742606,0.7394270122783083,0.6198599831483179,0.6003314403814699,0.739038347607106,0.5911744397715146,0.76193724420191,"[0.6193142057382786, 0.3461304082876295, 0.76193724420191]"
3,4,65,0.6609934615259729,0.9519725557461407,0.6219730755962749,0.6724116841036447,0.7340012720335,0.6064263953555211,0.9531977456505758,"[0.6251924422673198, 0.307739183424741, 0.7578444747612552, 0.9531977456505758]"
4,5,70,0.5374314057582408,0.07878787878787878,0.5787599824054869,0.621772949983452,0.6558152491912288,0.6453114815159698,0.17575757575757575,"[0.5954513645906229, 0.20658135283363802, 0.7510231923601637, 0.9583435432492037, 0.17575757575757575]"
5,6,75,0.5168447107654975,0.11594202898550725,0.5702424540680475,0.5955412957304724,0.6424310830848117,0.6145451332125658,0.5031055900621118,"[0.5927921623512946, 0.19256550883607557, 0.7489768076398363, 0.9554030874785592, 0.10822510822510822, 0.5031055900621118]"
6,7,80,0.45732333081053295,0.12443946188340807,0.5265490967716725,0.5635793567635478,0.6024367403559767,0.6044298321508912,0.14349775784753363,"[0.580405878236529, 0.1809872029250457, 0.752387448840382, 0.9600588091154129, 0.11601731601731602, 0.46790890269151136, 0.14349775784753363]"
7,8,85,0.47267191260879937,0.38352745424292845,0.5060436855042036,0.5697403244111742,0.5849527378226584,0.5775158280573143,0.673044925124792,"[0.5736878936319104, 0.13711151736745886, 0.7517053206002728, 0.9536878216123499, 0.09004329004329005, 0.4720496894409938, 0.13004484304932734, 0.673044925124792]"
8,9,90,0.4156353779590686,0.09163030543435145,0.4810503315285414,0.5378484213482644,0.554934179859561,0.5714447978191731,0.2812376041253471,"[0.5681595521343596, 0.09445460085313832, 0.7503410641200545, 0.954177897574124, 0.0658008658008658, 0.2753623188405797, 0.12556053811659193, 0.6256239600665557, 0.2812376041253471]"
9,10,95,0.3944649618987795,0.8607132827857343,0.41785570957662554,0.501281614494869,0.48137268386999355,0.4696713095772993,0.8654872226902556,"[0.4932120363890833, 0.02010968921389397, 0.7510231923601637, 0.9473168341092869, 0.08571428571428572, 0.13457556935817805, 0.12556053811659193, 0.42803660565723795, 0.09361364537881793, 0.8654872226902556]"
10,11,100,0.37979230211297726,0.25950413223140495,0.4083547447071388,0.5053134880165867,0.4806569031932976,0.5271742475533945,0.25950413223140495,"[0.5333799860041988, 0.038391224862888484, 0.7394270122783083, 0.9519725557461407, 0.07878787878787878, 0.11594202898550725, 0.12443946188340807, 0.38352745424292845, 0.09163030543435145, 0.8607132827857343, 0.25950413223140495]"
