dataset,method,n,tm_aia_mean,tm_aia_sd,sw_aia_mean,sw_aia_sd,forgetting_mean,forgetting_sd,task_acquisition_mean,task_acquisition_sd
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),10,78.11478705781845,2.1626423574063622,75.90771200345355,1.7136507011756124,9.159115000000002,1.4925473137949998,81.55700818181819,1.8681464772761374
AZ-Class,DER++ (standard),10,79.44330383121601,2.5747001381790615,75.64045055220701,2.568021469497477,25.271900617729138,8.615713352039776,96.59291846356015,0.5359373824989859
AZ-Class,ER (standard),10,79.15379978888966,2.090535401981616,76.05447385370036,1.7690944222636817,24.76626504954534,4.612366780336259,96.74114220650381,0.4568612791694408
AZ-Class,protocol-matched adapted MalCL baseline,10,38.77808934551815,4.813294528134085,44.19966572503553,3.8116818539100303,15.712215430197384,5.516346197872007,43.36059588479048,6.182161440971272
EMBER,AHR-MalCL-HR (hybrid_random_buffer),10,82.17656728725566,2.8249096473060193,83.04707448878534,1.3631462953105005,9.22352,1.8098752460321679,87.08724545454545,1.0244968477172345
EMBER,DER++ (standard),10,84.04243739176454,2.355586501846807,84.16017383343258,0.7102666909022595,15.303364834773953,2.1901858744062,95.38631442040688,0.5157005776126872
EMBER,ER (standard),10,83.00009711181586,2.495520590383177,83.63052218954746,0.6754307882607888,16.559208677815906,2.160216168024443,95.74330216921176,0.49818886489838937
EMBER,protocol-matched adapted MalCL baseline,10,51.12050845851313,6.345085257185672,61.016576527309326,4.247857490433013,19.062367343973712,7.494187676145405,52.975912968706595,5.256950838177034
