class_id,class_label,precision,recall,f1_score,support
0,83,0.4642857142857143,0.8041237113402062,0.588679245283019,97
1,53,0.5555555555555556,1.0,0.7142857142857143,20
2,70,0.7587412587412588,0.8346153846153846,0.7948717948717948,260
3,45,0.6944444444444444,1.0,0.819672131147541,25
4,44,0.1942675159235669,0.8714285714285714,0.3177083333333333,70
5,39,0.92,0.92,0.92,50
6,22,0.711864406779661,0.9767441860465116,0.823529411764706,43
7,80,0.9655172413793104,1.0,0.9824561403508771,84
8,10,0.96875,0.9789473684210527,0.9738219895287958,95
9,0,0.3225806451612903,0.967741935483871,0.48387096774193544,31
10,18,0.8,0.9473684210526315,0.8674698795180723,38
11,30,0.8157894736842105,0.9393939393939394,0.8732394366197183,33
12,73,0.927710843373494,0.7457627118644068,0.8268456375838926,413
13,33,0.6482617586912065,0.6346346346346347,0.6413758219524531,999
14,90,0.11797752808988764,0.7777777777777778,0.20487804878048782,27
15,4,0.22705314009661837,0.7966101694915254,0.3533834586466166,59
16,76,0.9727748691099476,0.929,0.950383631713555,1000
17,77,0.6595744680851063,0.4,0.497991967871486,155
18,12,0.7837837837837838,0.9354838709677419,0.8529411764705881,124
19,31,0.8611481975967957,0.645,0.7375643224699828,1000
20,55,0.291044776119403,0.7959183673469388,0.4262295081967213,49
21,88,0.6836734693877551,0.7052631578947368,0.694300518134715,190
22,26,0.6324786324786325,0.2199108469539376,0.3263506063947078,673
23,42,0.3349282296650718,0.5185185185185185,0.40697674418604646,135
24,69,0.48717948717948717,1.0,0.6551724137931034,57
25,15,0.20512820512820512,0.96,0.3380281690140845,25
26,40,0.6710526315789473,0.9532710280373832,0.7876447876447877,107
27,96,0.9138627187079408,0.9114093959731544,0.9126344086021504,745
28,9,0.4423076923076923,0.9387755102040817,0.6013071895424837,49
29,72,0.7188264058679706,0.8828828828828829,0.7924528301886792,333
30,11,0.9428571428571428,1.0,0.9705882352941176,99
31,47,0.7393939393939394,0.5083333333333333,0.6024691358024692,480
32,85,0.36046511627906974,0.9393939393939394,0.5210084033613445,33
33,28,0.6952380952380952,0.776595744680851,0.7336683417085427,188
34,93,0.6556064073226545,0.5735735735735735,0.611852642819007,999
35,5,0.5546666666666666,0.416,0.4754285714285714,1000
36,66,0.224,0.875,0.356687898089172,32
37,65,0.9081632653061225,1.0,0.9518716577540107,89
38,35,0.6892307692307692,0.4745762711864407,0.5621079046424091,472
39,16,0.24242424242424243,0.8421052631578947,0.3764705882352941,38
40,49,0.5480769230769231,0.8260869565217391,0.6589595375722545,69
41,34,0.23809523809523808,0.7407407407407407,0.36036036036036034,27
42,7,0.524390243902439,0.9555555555555556,0.6771653543307087,45
43,95,0.504,0.7777777777777778,0.6116504854368933,81
44,27,0.4574468085106383,0.7818181818181819,0.5771812080536913,55
45,19,0.4855072463768116,0.7976190476190477,0.6036036036036037,84
46,81,0.14432989690721648,0.9655172413793104,0.2511210762331838,29
47,25,0.4340836012861736,0.8035714285714286,0.5636743215031315,168
48,62,0.6745182012847966,0.875,0.7617896009673518,360
49,13,0.6162790697674418,1.0,0.762589928057554,53
50,24,0.7422222222222222,0.9597701149425287,0.8370927318295739,174
51,3,0.9,0.882,0.890909090909091,1000
52,17,0.944954128440367,0.9169139465875371,0.9307228915662651,337
53,38,0.43023255813953487,0.8505747126436781,0.5714285714285714,87
54,8,0.6531986531986532,0.941747572815534,0.7713717693836979,206
55,78,0.6390977443609023,0.9659090909090909,0.7692307692307693,88
56,6,0.8584779706275033,0.6436436436436437,0.7356979405034324,999
57,64,0.15841584158415842,0.7619047619047619,0.26229508196721313,21
58,36,0.9466019417475728,1.0,0.972568578553616,195
59,89,0.7202072538860104,0.896774193548387,0.7988505747126435,155
60,56,0.8614457831325302,0.6724137931034483,0.755281690140845,638
61,99,0.8412322274881516,0.7107107107107107,0.770482908301682,999
62,54,0.9093023255813953,0.7651663405088063,0.8310308182784272,511
63,43,0.4657534246575342,0.15777262180974477,0.23570190641247837,431
64,50,0.3888888888888889,0.9130434782608695,0.5454545454545454,23
65,67,0.8746177370030581,0.9285714285714286,0.9007874015748032,308
66,46,0.5970149253731343,0.451693851944793,0.5142857142857142,797
67,68,0.7419354838709677,1.0,0.8518518518518519,92
68,61,0.8244604316546763,0.5741482965931863,0.67690490253987,998
69,97,0.9705882352941176,0.9850746268656716,0.9777777777777777,67
70,79,0.9287211740041929,0.8868868868868869,0.9073220686123911,999
71,41,0.1038374717832957,0.8679245283018868,0.1854838709677419,53
72,58,0.9545454545454546,1.0,0.9767441860465117,21
73,48,0.7298850574712644,0.8639455782312925,0.7912772585669782,147
74,98,1.0,1.0,1.0,47
75,57,0.7735849056603774,0.9761904761904762,0.863157894736842,42
76,75,0.37606837606837606,0.8301886792452831,0.5176470588235295,53
77,32,0.7543053960964409,0.6589769307923772,0.7034261241970022,997
78,94,0.7573385518590998,0.38738738738738737,0.5125827814569537,999
79,59,0.25263157894736843,0.9230769230769231,0.39669421487603307,26
80,63,0.8520461699895068,0.8128128128128128,0.8319672131147541,999
81,84,0.7901990811638591,0.5180722891566265,0.6258338386901152,996
82,37,0.9185667752442996,0.8558421851289834,0.8860958366064416,659
83,29,0.8979591836734694,1.0,0.9462365591397849,44
84,1,0.9041095890410958,1.0,0.949640287769784,66
85,52,0.2887323943661972,0.8913043478260869,0.4361702127659574,46
86,21,0.5257731958762887,0.8793103448275862,0.6580645161290323,58
87,2,0.18604651162790697,1.0,0.3137254901960785,24
88,23,0.4034090909090909,0.7802197802197802,0.5318352059925093,91
89,87,0.45161290322580644,1.0,0.6222222222222222,42
90,91,0.9900990099009901,1.0,0.9950248756218906,1000
91,74,0.8255813953488372,0.922077922077922,0.8711656441717791,77
92,86,0.7575757575757576,1.0,0.8620689655172413,25
93,82,0.21052631578947367,0.9655172413793104,0.34567901234567905,29
94,20,0.8181818181818182,1.0,0.9,54
95,60,0.38405797101449274,0.9217391304347826,0.5421994884910486,115
96,71,0.17518248175182483,1.0,0.2981366459627329,24
97,14,0.34629629629629627,0.1879396984924623,0.24364820846905538,995
98,92,0.6715686274509803,0.9415807560137457,0.7839771101573676,291
99,51,0.06896551724137931,0.8888888888888888,0.128,27
macro_avg,macro_avg,0.6195539179638596,0.8285756341837501,0.6638206944923604,28559
weighted_avg,weighted_avg,0.750292369029432,0.6942820126755138,0.7015385505460221,28559
