accuracy,class_id
1.0,0
0.5840978593272171,1
0.4421052631578947,2
1.0,3
0.5217391304347826,4
1.0,5
0.9542857142857143,6
0.4326647564469914,7
0.9130434782608695,8
0.7669204737732657,9
0.7333333333333333,10
0.9176470588235294,11
0.7452054794520548,12
0.9827634139560745,13
0.3114754098360656,14
0.8057553956834532,15
0.9523809523809523,16
0.9787234042553191,17
1.0,18
0.07291666666666667,19
0.8229166666666666,20
0.3488372093023256,21
0.6957928802588996,22
0.8571428571428571,23
1.0,24
0.9523809523809523,25
0.9870550161812298,26
0.8564356435643564,27
0.3977272727272727,28
0.9959016393442623,29
1.0,30
0.7777777777777778,31
1.0,32
0.9666666666666667,33
0.6140350877192983,34
1.0,35
0.9827586206896551,36
0.676056338028169,37
0.7298850574712644,38
0.9508196721311475,39
0.8606403013182674,40
0.6612903225806451,41
0.9733333333333334,42
0.7674418604651163,43
0.9863013698630136,44
0.18181818181818182,45
0.9861830742659758,46
0.9318181818181818,47
0.6847475832438239,48
0.8666666666666667,49
0.3963963963963964,50
0.7807097361237488,51
0.7827586206896552,52
0.9481865284974094,53
0.7774086378737541,54
0.9836734693877551,55
0.9587852494577006,56
0.8808290155440415,57
0.8543689320388349,58
0.7857142857142857,59
0.24452554744525548,60
0.7424892703862661,61
1.0,62
0.41566265060240964,63
0.16,64
0.9266503667481663,65
0.7647058823529411,66
1.0,67
0.9822485207100592,68
0.6,69
0.7540322580645161,70
0.9809523809523809,71
0.9318181818181818,72
0.9452054794520548,73
0.6575342465753424,74
0.9,75
1.0,76
0.9901960784313726,77
0.8407079646017699,78
0.8222222222222222,79
0.9868421052631579,80
0.9365079365079365,81
0.7130620985010707,82
0.8840579710144928,83
0.9235294117647059,84
0.8556701030927835,85
0.9478127398311589,86
0.6854304635761589,87
1.0,88
0.9230769230769231,89
0.9727891156462585,90
0.9788135593220338,91
0.32432432432432434,92
0.7329105003523608,93
0.9864864864864865,94
1.0,95
1.0,96
0.9823529411764705,97
0.8776978417266187,98
1.0,99
