dataset,variant,unit,mean,sample_sd,N
ember,current_only,fraction,0.962565975304249,0.012684548336235857,10
ember,anchor_only,fraction,0.07260158844294151,0.01595986693068262,10
ember,generated_only,fraction,0.5940448933841244,0.08165845031280196,10
ember,full_hybrid,fraction,0.0922352,0.01809875246032168,10
az_class,current_only,fraction,0.9665058551715137,0.007939458461741088,10
az_class,anchor_only,fraction,0.0736076903342957,0.013117222197967508,10
az_class,generated_only,fraction,0.7196214252214332,0.0774272073139027,10
az_class,full_hybrid,fraction,0.09159115000000001,0.014925473137949993,10
