dataset,seed,metric,metric_desirability,anchor_main_effect_raw,generation_main_effect_raw,interaction_raw,anchor_main_effect_benefit_aligned,generation_main_effect_benefit_aligned,interaction_benefit_aligned,decomposition_label
ember,42,forgetting_corrected,lower_is_better,-0.6857298136284034,-0.17602628637159662,0.37872382725680664,0.6857298136284034,0.17602628637159662,-0.37872382725680664,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,43,forgetting_corrected,lower_is_better,-0.6998640572004791,-0.19582074279952094,0.3992125144009583,0.6998640572004791,0.19582074279952094,-0.3992125144009583,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,44,forgetting_corrected,lower_is_better,-0.6635844486269249,-0.2125351513730751,0.47199949725384993,0.6635844486269249,0.2125351513730751,-0.47199949725384993,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,45,forgetting_corrected,lower_is_better,-0.6918654566880988,-0.20333734331190106,0.38790591337619806,0.6918654566880988,0.20333734331190106,-0.38790591337619806,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,46,forgetting_corrected,lower_is_better,-0.7359134634309761,-0.14934023656902395,0.31494672686195213,0.7359134634309761,0.14934023656902395,-0.31494672686195213,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,47,forgetting_corrected,lower_is_better,-0.6913321076123862,-0.16963872120856122,0.42240466763754025,0.6913321076123862,0.16963872120856122,-0.42240466763754025,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,48,forgetting_corrected,lower_is_better,-0.6595645966237877,-0.17486912626138307,0.3921066392289805,0.6595645966237877,0.17486912626138307,-0.3921066392289805,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,49,forgetting_corrected,lower_is_better,-0.6666220129502034,-0.19558881124853464,0.4305248220496495,0.6666220129502034,0.19558881124853464,-0.4305248220496495,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,forgetting_corrected,lower_is_better,-0.7872736889270942,-0.06427777875548221,0.20290080498162744,0.7872736889270942,0.06427777875548221,-0.20290080498162744,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,forgetting_corrected,lower_is_better,-0.6771207555388058,-0.2030031539162524,0.4808215217242696,0.6771207555388058,0.2030031539162524,-0.4808215217242696,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,42,forgetting_corrected,lower_is_better,-0.8214737166900284,-0.0379908833099715,0.12466103338005696,0.8214737166900284,0.0379908833099715,-0.12466103338005696,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,43,forgetting_corrected,lower_is_better,-0.7010277473209707,-0.17080015267902918,0.3666912946419416,0.7010277473209707,0.17080015267902918,-0.3666912946419416,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,44,forgetting_corrected,lower_is_better,-0.7859490866169031,-0.10094201338309694,0.21947397323380602,0.7859490866169031,0.10094201338309694,-0.21947397323380602,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,45,forgetting_corrected,lower_is_better,-0.7795449560225919,-0.1147010439774081,0.2584833120451837,0.7795449560225919,0.1147010439774081,-0.2584833120451837,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,46,forgetting_corrected,lower_is_better,-0.7775358791622544,-0.10300982083774554,0.2920791583245088,0.7775358791622544,0.10300982083774554,-0.2920791583245088,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,47,forgetting_corrected,lower_is_better,-0.7302840142381857,-0.13057700413629356,0.29366066228390253,0.7302840142381857,0.13057700413629356,-0.29366066228390253,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,48,forgetting_corrected,lower_is_better,-0.7321841986011903,-0.16413474889103322,0.31894788108801486,0.7321841986011903,0.16413474889103322,-0.31894788108801486,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,49,forgetting_corrected,lower_is_better,-0.7801015767669873,-0.08680957109985032,0.223878830299858,0.7801015767669873,0.08680957109985032,-0.223878830299858,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,50,forgetting_corrected,lower_is_better,-0.7883349601063075,-0.08808505380472534,0.19199280305453803,0.7883349601063075,0.08808505380472534,-0.19199280305453803,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,51,forgetting_corrected,lower_is_better,-0.7082060647678368,-0.14745455930272697,0.3588099478060367,0.7082060647678368,0.14745455930272697,-0.3588099478060367,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
