dataset,seed,manuscript_formula,historical_implementation,final80_implementation,historical_minus_formula,final80_minus_formula
ember,42,0.0956485,0.0956485,0.0956485,0.0,0.0
ember,43,0.0812859,0.0812859,0.0812859,0.0,0.0
ember,44,0.0958983,0.0958983,0.0958983,0.0,0.0
ember,45,0.07573540000000002,0.07573540000000002,0.07573540000000002,0.0,0.0
ember,46,0.0706598,0.0706598,0.0720314,0.0,0.0013716000000000006
ember,47,0.1013773,0.1013773,0.1013773,0.0,0.0
ember,48,0.1251642,0.1251642,0.1251642,0.0,0.0
ember,49,0.0706002,0.0706002,0.0706002,0.0,0.0
ember,50,0.1129419,0.1129419,0.1129419,0.0,0.0
ember,51,0.09304050000000003,0.09304050000000003,0.09304050000000003,0.0,0.0
az_class,42,0.0987489,0.0987489,0.0987489,0.0,0.0
az_class,43,0.07792500000000005,0.07792500000000005,0.08205550000000003,0.0,0.004130499999999981
az_class,44,0.0750348,0.0750348,0.0750348,0.0,0.0
az_class,45,0.0818827,0.0818827,0.0818827,0.0,0.0
az_class,46,0.08813810000000001,0.08813810000000001,0.08813810000000001,0.0,0.0
az_class,47,0.10665750000000003,0.10665750000000003,0.10665750000000003,0.0,0.0
az_class,48,0.07457269999999998,0.07457269999999998,0.07457269999999998,0.0,0.0
az_class,49,0.10538040000000001,0.10538040000000001,0.10744070000000003,0.0,0.002060300000000015
az_class,50,0.08995709999999998,0.08995709999999998,0.09238569999999999,0.0,0.002428600000000003
az_class,51,0.11761430000000002,0.11761430000000002,0.11761430000000002,0.0,0.0
