dataset,seed,variant,source_provenance,forgetting_corrected_fraction,forgetting_corrected_percent,formula,matrix_orientation
az_class,47,generated_only,NEW_STANDARD_A_T4,0.6901111830962344,69.01111830962344,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,48,generated_only,NEW_STANDARD_A_T4,0.6472829580571829,64.72829580571829,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,49,generated_only,NEW_STANDARD_A_T4,0.7735425616170584,77.35425616170583,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,50,generated_only,NEW_STANDARD_A_T4,0.7822956585790385,78.22956585790385,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,51,generated_only,NEW_STANDARD_A_T4,0.6464153908648185,64.64153908648184,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,42,anchor_only,NEW_STANDARD_A_T4,0.08231287274319332,8.231287274319332,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,43,anchor_only,NEW_STANDARD_A_T4,0.0775003855990418,7.750038559904179,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,44,anchor_only,NEW_STANDARD_A_T4,0.07243370274615012,7.243370274615011,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,45,anchor_only,NEW_STANDARD_A_T4,0.08511978662380205,8.511978662380205,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,46,anchor_only,NEW_STANDARD_A_T4,0.06252667313804787,6.252667313804787,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,47,anchor_only,NEW_STANDARD_A_T4,0.05981368738979111,5.9813687389791115,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,48,anchor_only,NEW_STANDARD_A_T4,0.10398000664689286,10.398000664689286,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,49,anchor_only,NEW_STANDARD_A_T4,0.050926600223709914,5.092660022370992,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,50,anchor_only,NEW_STANDARD_A_T4,0.07576927626466848,7.576927626466848,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,51,anchor_only,NEW_STANDARD_A_T4,0.05563289305411763,5.563289305411763,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,42,current_only,HISTORICAL_REUSED,0.9574045999999999,95.74046,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,43,current_only,HISTORICAL_REUSED,0.9769707000000001,97.69707000000001,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,44,current_only,HISTORICAL_REUSED,0.9720179,97.20179,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,45,current_only,HISTORICAL_REUSED,0.9709382,97.09382,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,46,current_only,HISTORICAL_REUSED,0.9559135,95.59134999999999,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,47,current_only,NEW_STANDARD_A_T4,0.9623481288209474,96.23481288209474,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,48,current_only,NEW_STANDARD_A_T4,0.9595979228851709,95.9597922885171,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,49,current_only,NEW_STANDARD_A_T4,0.932811024198738,93.28110241987379,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,50,current_only,NEW_STANDARD_A_T4,0.9644933676825763,96.44933676825764,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,51,current_only,NEW_STANDARD_A_T4,0.9731644094550582,97.31644094550582,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,42,full_hybrid,HISTORICAL_REUSED,0.0956485,9.56485,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,43,full_hybrid,HISTORICAL_REUSED,0.0812859,8.128589999999999,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,44,full_hybrid,HISTORICAL_REUSED,0.0958983,9.589830000000001,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,45,full_hybrid,HISTORICAL_REUSED,0.07573540000000002,7.573540000000002,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,46,full_hybrid,HISTORICAL_REUSED,0.0706598,7.06598,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,47,full_hybrid,HISTORICAL_REUSED,0.1013773,10.137730000000001,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,48,full_hybrid,HISTORICAL_REUSED,0.1251642,12.51642,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,49,full_hybrid,HISTORICAL_REUSED,0.0706002,7.06002,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,50,full_hybrid,HISTORICAL_REUSED,0.1129419,11.29419,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
