dataset,method,seed,source_class_order,support_source,task_supports,full_test_support,all_100_classes_once,schedule_valid,matches_v15_4_supports
EMBER,protocol-matched adapted MalCL baseline,47,historical_outputs/adapted_malcl/ember/seed_47/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18525, 980, 2673, 1310, 1371, 2945, 624, 480, 458, 629, 3709]",33704,true,true,true
EMBER,AHR-MalCL-HR (hybrid_random_buffer),47,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[18525, 980, 2673, 1310, 1371, 2945, 624, 480, 458, 629, 3709]",33704,true,true,true
EMBER,ER (standard),48,historical_outputs/er/ember/seed_48/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18028, 3337, 1273, 1028, 568, 1131, 1001, 1041, 1894, 549, 3854]",33704,true,true,true
EMBER,DER++ (standard),48,historical_outputs/derpp/ember/seed_48/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18028, 3337, 1273, 1028, 568, 1131, 1001, 1041, 1894, 549, 3854]",33704,true,true,true
EMBER,protocol-matched adapted MalCL baseline,48,historical_outputs/adapted_malcl/ember/seed_48/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18028, 3337, 1273, 1028, 568, 1131, 1001, 1041, 1894, 549, 3854]",33704,true,true,true
EMBER,AHR-MalCL-HR (hybrid_random_buffer),48,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[18028, 3337, 1273, 1028, 568, 1131, 1001, 1041, 1894, 549, 3854]",33704,true,true,true
EMBER,ER (standard),49,historical_outputs/er/ember/seed_49/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[17118, 3800, 1923, 1389, 726, 2193, 372, 845, 1809, 2260, 1269]",33704,true,true,true
EMBER,DER++ (standard),49,historical_outputs/derpp/ember/seed_49/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[17118, 3800, 1923, 1389, 726, 2193, 372, 845, 1809, 2260, 1269]",33704,true,true,true
EMBER,protocol-matched adapted MalCL baseline,49,historical_outputs/adapted_malcl/ember/seed_49/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[17118, 3800, 1923, 1389, 726, 2193, 372, 845, 1809, 2260, 1269]",33704,true,true,true
EMBER,AHR-MalCL-HR (hybrid_random_buffer),49,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[17118, 3800, 1923, 1389, 726, 2193, 372, 845, 1809, 2260, 1269]",33704,true,true,true
EMBER,ER (standard),50,historical_outputs/er/ember/seed_50/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[14290, 1641, 1466, 4081, 1155, 483, 892, 2404, 2521, 3561, 1210]",33704,true,true,true
EMBER,DER++ (standard),50,historical_outputs/derpp/ember/seed_50/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[14290, 1641, 1466, 4081, 1155, 483, 892, 2404, 2521, 3561, 1210]",33704,true,true,true
EMBER,protocol-matched adapted MalCL baseline,50,historical_outputs/adapted_malcl/ember/seed_50/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[14290, 1641, 1466, 4081, 1155, 483, 892, 2404, 2521, 3561, 1210]",33704,true,true,true
EMBER,AHR-MalCL-HR (hybrid_random_buffer),50,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[14290, 1641, 1466, 4081, 1155, 483, 892, 2404, 2521, 3561, 1210]",33704,true,true,true
EMBER,ER (standard),51,historical_outputs/er/ember/seed_51/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18145, 2619, 3347, 1164, 1939, 420, 872, 2655, 967, 780, 796]",33704,true,true,true
