dataset,method,seed,stage,sw_seen_accuracy,tm_seen_accuracy,cumulative_test_support,observed_tasks,definition_version
AZ-Class,protocol-matched adapted MalCL baseline,47,4,53.677251230576196,56.91445063448951,20722,4,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,47,5,49.576502732240435,44.387384133426785,21960,5,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,47,6,48.65675592218448,42.62954041878452,22669,6,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,47,7,45.937245138859076,37.8170879101531,23297,7,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,47,8,43.70165295985669,32.46755102975833,24562,8,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,47,9,36.22934888241011,30.540857262650338,25725,9,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,47,10,38.66503413475809,29.632040505223706,26952,10,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,47,11,34.88217374557932,27.586638196957136,28559,11,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,1,57.478585547990335,57.478585547990335,18212,1,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,2,52.624713003548315,37.8420037024254,19164,2,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,3,49.785602582858296,31.509551426694742,19823,3,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,4,49.01004168245547,29.73284804488017,21112,4,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,5,46.12201737851133,28.766767283488292,21751,5,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,6,45.88707495264725,23.647791047351355,22174,6,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,7,43.46160698378764,19.096952279222208,22452,7,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,8,42.50469732864962,21.420641501683075,24482,8,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,9,39.63355110009762,22.413021729188504,26634,9,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,10,38.108108108108105,21.29815159275424,27380,10,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,11,39.115515249133374,25.395163407392467,28559,11,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,1,58.354173179118476,58.354173179118476,12796,1,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,2,54.94461762950189,60.88365685572226,15077,2,V15.5
