dataset,method,seed,sw_aia,tm_aia,final_sample_weighted_seen_accuracy,final_task_macro_accuracy,task_matrix_source,task_support_source,definition_version
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),48,74.82939070311362,76.25825300800209,71.44856357715607,76.42848181818184,task_matrices/anchored_hr__az_class__seed_48.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),49,76.0480461522926,75.62933832808605,70.67475218670121,70.63515454545454,task_matrices/anchored_hr__az_class__seed_49.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),50,79.20645017561873,76.48100401580743,71.43806323750832,70.13121818181818,task_matrices/anchored_hr__az_class__seed_50.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),51,73.49274929425043,78.13319729666799,70.69925497741518,74.84896363636365,task_matrices/anchored_hr__az_class__seed_51.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,AHR-MalCL-HR (hybrid_random_buffer),42,84.68628722111872,82.38942873966943,79.82733584144316,78.17606363636365,task_matrices/anchored_hr__ember__seed_42.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,AHR-MalCL-HR (hybrid_random_buffer),43,83.12392196482901,84.1622076272465,79.51578998635178,81.01532727272726,task_matrices/anchored_hr__ember__seed_43.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,AHR-MalCL-HR (hybrid_random_buffer),44,84.08963710233951,82.90873793486817,78.98174028008543,78.53905454545455,task_matrices/anchored_hr__ember__seed_44.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,AHR-MalCL-HR (hybrid_random_buffer),45,83.40414089451961,84.49852137839433,79.71455967540943,81.34740909090911,task_matrices/anchored_hr__ember__seed_45.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,AHR-MalCL-HR (hybrid_random_buffer),46,83.19592288676635,84.13861109208972,79.3229319873012,79.74227272727272,task_matrices/anchored_hr__ember__seed_46.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,AHR-MalCL-HR (hybrid_random_buffer),47,81.04228970888505,75.04683786632559,79.12116852005697,76.13695454545456,task_matrices/anchored_hr__ember__seed_47.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,AHR-MalCL-HR (hybrid_random_buffer),48,81.18431556540268,80.19960595041321,79.38523208817945,76.43014545454545,task_matrices/anchored_hr__ember__seed_48.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,AHR-MalCL-HR (hybrid_random_buffer),49,81.3899998467275,82.39270186737505,78.8511649121766,81.51566363636366,task_matrices/anchored_hr__ember__seed_49.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,AHR-MalCL-HR (hybrid_random_buffer),50,84.12668767835557,82.04927346156369,78.95500028186567,75.75165454545453,task_matrices/anchored_hr__ember__seed_50.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,AHR-MalCL-HR (hybrid_random_buffer),51,84.22754201890952,83.97974695461104,78.5188518988844,78.8722818181818,task_matrices/anchored_hr__ember__seed_51.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,DER++ (standard),42,71.45792607901468,76.76390308149612,70.12850590006653,73.46425518046212,task_matrices/derpp__az_class__seed_42.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,DER++ (standard),43,76.44996280008618,78.83928848275816,71.84425224972864,74.18562525847037,task_matrices/derpp__az_class__seed_43.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,DER++ (standard),44,78.58217806153006,82.89611772410579,75.27224342589027,76.16855320341574,task_matrices/derpp__az_class__seed_44.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,DER++ (standard),45,74.71056190216215,80.49469737868438,63.563149970237056,61.15038484108572,task_matrices/derpp__az_class__seed_45.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,DER++ (standard),46,74.12496023376899,80.041813004462,74.15875906019119,80.27111311980953,task_matrices/derpp__az_class__seed_46.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,DER++ (standard),47,79.05478026377683,82.07899016404713,73.27287370005952,74.47918094236505,task_matrices/derpp__az_class__seed_47.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,DER++ (standard),48,76.9188007099606,80.0832556913109,76.46976434749115,81.54349888347731,task_matrices/derpp__az_class__seed_48.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,DER++ (standard),49,71.98962380481227,75.14533481962411,75.47183024615708,76.95327258100569,task_matrices/derpp__az_class__seed_49.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,DER++ (standard),50,77.29440028942497,76.53626959201868,61.553275674918595,58.56652201473898,task_matrices/derpp__az_class__seed_50.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,DER++ (standard),51,75.82131137753332,81.55336837365292,75.94103434994223,80.04393877045263,task_matrices/derpp__az_class__seed_51.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,DER++ (standard),42,83.89678060092616,83.23556187173634,76.82470923332542,80.11512829471988,task_matrices/derpp__ember__seed_42.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,DER++ (standard),43,84.90138337581362,86.55265756048146,81.45027296463327,82.60701678589446,task_matrices/derpp__ember__seed_43.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,DER++ (standard),44,84.42628767044677,84.76444493542967,82.16235461666271,81.65895025025243,task_matrices/derpp__ember__seed_44.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,DER++ (standard),45,85.38010416619464,87.02926325630405,83.30465226679325,85.32917490728916,task_matrices/derpp__ember__seed_45.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,DER++ (standard),46,84.3378381382114,85.05942099739515,84.23035841443152,81.46957187070126,task_matrices/derpp__ember__seed_46.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,DER++ (standard),47,83.12694019069386,78.518504520721,84.45881794445764,80.68508956383556,task_matrices/derpp__ember__seed_47.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,DER++ (standard),48,84.19796081855328,83.13490243215652,83.57464989318774,79.42588562570798,task_matrices/derpp__ember__seed_48.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,DER++ (standard),49,83.16666973604248,84.59326260318426,83.61322098267267,84.05035660292452,task_matrices/derpp__ember__seed_49.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,DER++ (standard),50,84.44668204159196,83.16865382309862,82.96938048896273,80.03661633789393,task_matrices/derpp__ember__seed_50.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,DER++ (standard),51,83.72109159585156,84.36770191713843,81.39686684073108,79.36385546690443,task_matrices/derpp__ember__seed_51.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,ER (standard),42,72.45678423184495,77.4087335053165,69.22511292412199,73.00228386359534,task_matrices/er__az_class__seed_42.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,ER (standard),43,75.70229532888945,77.41498547299214,70.8113029167688,72.08354287717775,task_matrices/er__az_class__seed_43.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,ER (standard),44,77.58416107417621,81.93643476506362,74.68748905774012,75.47152567466985,task_matrices/er__az_class__seed_44.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,ER (standard),45,75.58106218833316,81.11065510828531,67.06467313281277,67.51284615602265,task_matrices/er__az_class__seed_45.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,ER (standard),46,75.22211633563049,80.03297200083308,73.26937217689695,78.80831208732248,task_matrices/er__az_class__seed_46.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,ER (standard),47,78.60950594177758,81.17690628288034,72.15588781119787,73.27544478835505,task_matrices/er__az_class__seed_47.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,ER (standard),48,76.20761347978734,78.01922819854691,75.89201302566616,79.8063330593449,task_matrices/er__az_class__seed_48.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,ER (standard),49,75.04553037989291,76.68723542104175,74.4178717742218,75.041039328691,task_matrices/er__az_class__seed_49.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,ER (standard),50,78.12129724445951,76.71905046485408,71.45208165552015,68.31510765880185,task_matrices/er__az_class__seed_50.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,ER (standard),51,76.01437233221205,81.031796669083,75.11117336041178,78.98208751924652,task_matrices/er__az_class__seed_51.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,ER (standard),42,83.08606346211417,81.95644811155785,75.69131260384523,78.29277685077052,task_matrices/er__ember__seed_42.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,ER (standard),43,84.23901972728262,85.08366579685456,80.69962022311891,81.45998092290337,task_matrices/er__ember__seed_43.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,ER (standard),44,83.9698687149645,83.80838694217208,81.67576548777593,80.92981369305865,task_matrices/er__ember__seed_44.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,ER (standard),45,84.8885744207231,86.10418325099559,82.8239971516734,84.5688907905577,task_matrices/er__ember__seed_45.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,ER (standard),46,83.78734734470876,84.49109445587813,82.48872537384287,80.23324842127751,task_matrices/er__ember__seed_46.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,ER (standard),47,82.44119003060437,77.07499688168808,83.8001424163304,79.73818741544719,task_matrices/er__ember__seed_47.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,ER (standard),48,83.38970325385206,81.81238260711899,82.96047946831237,78.74003935940027,task_matrices/er__ember__seed_48.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,ER (standard),49,83.40938212714758,83.91912934666475,82.63707571801567,83.36705739352402,task_matrices/er__ember__seed_49.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,ER (standard),50,83.8481702271679,82.2781975383121,81.80334678376454,78.9457584716812,task_matrices/er__ember__seed_50.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,ER (standard),51,83.24590258690955,83.47248618691664,82.94564443389508,80.61900766607967,task_matrices/er__ember__seed_51.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
