dataset,method,seed,aia,forgetting,bwt,task_acquisition,final_old_task_accuracy,final_new_task_accuracy,matrix_source,support_source,definition_version,sw_aia,tm_aia,final_sample_weighted_seen_accuracy,final_task_macro_accuracy
AZ-Class,protocol-matched adapted MalCL baseline,42,40.04000980130101,13.802379591598314,-13.518214478535526,49.86846567376473,36.558822444387054,16.391184573002754,adapted_malcl__az_class__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,40.04000980130101,44.521699045908036,35.53345705381841,37.57917978418698
AZ-Class,protocol-matched adapted MalCL baseline,43,39.88800450266346,7.378770469050259,-6.897611644672322,32.93927342273918,35.65623012227013,0.38314176245210724,adapted_malcl__az_class__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,39.888004502663456,40.610305383147605,35.33387023355159,26.668717382127976
AZ-Class,protocol-matched adapted MalCL baseline,44,47.55152152422275,16.712284014760343,-16.597827661982794,40.6111446456685,39.54117559854718,56.055802155992396,adapted_malcl__az_class__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,47.551521524222764,33.44790358880284,40.453097097237304,25.522210407502318
AZ-Class,protocol-matched adapted MalCL baseline,45,39.55008186187632,23.094130239430243,-22.75789835537227,49.69362873611269,31.25591968175791,45.42513863216266,adapted_malcl__az_class__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,39.55008186187633,37.26455138078381,32.32956336006163,29.004630231228806
AZ-Class,protocol-matched adapted MalCL baseline,46,47.80314759275813,10.355887110991741,-9.785204610795443,40.90321058501409,40.828814304558115,10.023677979479084,adapted_malcl__az_class__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,47.80314759275813,39.512532910743154,39.46216604222837,32.007570029745494
AZ-Class,protocol-matched adapted MalCL baseline,47,47.75332741789485,20.775376626318955,-19.722441256213795,45.51613024806058,33.017957850994364,66.14810205351587,adapted_malcl__az_class__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,47.753327417894845,44.974508253690495,34.88217374557932,27.586638196957136
AZ-Class,protocol-matched adapted MalCL baseline,48,45.79377399252613,9.632326237094336,-9.560383791051171,34.08642139925717,36.70927684441198,94.99575911789653,adapted_malcl__az_class__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,45.79377399252613,28.963770687551893,39.115515249133374,25.395163407392467
AZ-Class,protocol-matched adapted MalCL baseline,49,45.5843231703657,19.555911294585087,-19.448877655441358,49.55118844009783,38.87261814368876,38.13747228381374,adapted_malcl__az_class__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,45.5843231703657,40.3121768460697,38.84939948877762,31.870390571514772
AZ-Class,protocol-matched adapted MalCL baseline,50,48.00836311707769,21.753337776967832,-21.753337776967832,43.908972979524144,33.33985138834572,60.88992974238876,adapted_malcl__az_class__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,48.0083631170777,37.73345003940414,36.22325711684583,24.133211364098837
AZ-Class,protocol-matched adapted MalCL baseline,51,40.024104269669245,14.061750941176705,-14.061750941176705,46.5275227176658,32.60343309859155,41.389961389961385,adapted_malcl__az_class__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,40.02410426966925,40.43999531907975,33.001855807276165,33.74411277114153
EMBER,protocol-matched adapted MalCL baseline,42,67.43726238676474,19.54011915824399,-18.72976152118127,49.392152128302925,57.51528610105557,16.125150421179303,adapted_malcl__ember__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,67.43726238676474,49.42085849507669,56.49477806788512,32.3650961999563
EMBER,protocol-matched adapted MalCL baseline,43,63.096685392279724,10.687087007327918,-9.940827854987019,51.93524054447237,58.924829157175395,25.03209242618742,adapted_malcl__ember__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,63.09668539227972,47.47887001029681,58.14146688820318,42.898124312665985
EMBER,protocol-matched adapted MalCL baseline,44,63.54069000626515,28.998948283790504,-28.902801278335925,58.446777648581495,35.408334408463425,44.333333333333336,adapted_malcl__ember__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,63.54069000626516,56.96046592312968,36.12330880607643,32.17150375918519
EMBER,protocol-matched adapted MalCL baseline,45,63.55522034634655,19.610770902045303,-18.666704076951106,49.90507861716166,41.55728018907093,78.31174258253239,adapted_malcl__ember__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,63.555220346346566,49.03980998063458,44.16686446712556,32.935347638115196
EMBER,protocol-matched adapted MalCL baseline,46,54.782091132983965,11.498841899808026,-11.319686330564648,47.300929077999314,48.339528365120955,31.405895691609974,adapted_malcl__ember__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,54.78209113298397,52.4489625153403,47.896392119629716,37.010305141122366
EMBER,protocol-matched adapted MalCL baseline,47,55.05866996655479,21.19188874330274,-21.069073019128783,45.72399213582268,35.18919819969995,80.53383661364249,adapted_malcl__ember__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,55.05866996655477,36.892736123283996,40.17920721576074,26.57028939116014
EMBER,protocol-matched adapted MalCL baseline,48,58.36934352390437,33.072868557996756,-32.61150993625865,56.081776417702855,35.19262981574539,96.49714582252206,adapted_malcl__ember__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,58.36934352390438,51.88970316706061,42.20270591027771,26.43494920292227
EMBER,protocol-matched adapted MalCL baseline,49,59.06979214684789,19.469842522509374,-18.54510353660852,62.33704339390221,52.3971018960999,82.03309692671394,adapted_malcl__ember__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,59.06979214684789,55.36298790831133,53.51293615001187,45.477858360621745
EMBER,protocol-matched adapted MalCL baseline,50,60.013235321673186,15.611685305715554,-15.543074671067181,52.10929809408608,52.71742475533945,25.950413223140494,adapted_malcl__ember__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,60.01323532167319,51.37570988599065,51.756468075005934,37.979230211297725
EMBER,protocol-matched adapted MalCL baseline,51,65.24277504947297,10.94162105899698,-9.925806232563968,56.526841629034486,59.034277379360645,47.48743718592965,adapted_malcl__ember__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,65.24277504947298,60.33498057600662,58.76157132684548,47.50338141761271
