dataset,method,seed,aia,forgetting,bwt,task_acquisition,final_old_task_accuracy,final_new_task_accuracy,matrix_source,support_source,definition_version
AZ-Class,protocol-matched adapted MalCL baseline,42,40.04000980130101,13.802379591598314,-13.518214478535526,49.86846567376473,36.558822444387054,16.391184573002754,adapted_malcl__az_class__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,39.88800450266346,7.378770469050259,-6.897611644672322,32.93927342273918,35.65623012227013,0.38314176245210724,adapted_malcl__az_class__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,47.55152152422275,16.712284014760343,-16.597827661982794,40.6111446456685,39.54117559854718,56.055802155992396,adapted_malcl__az_class__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,39.55008186187632,23.094130239430243,-22.75789835537227,49.69362873611269,31.25591968175791,45.42513863216266,adapted_malcl__az_class__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,47.80314759275813,10.355887110991741,-9.785204610795443,40.90321058501409,40.828814304558115,10.023677979479084,adapted_malcl__az_class__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,47.75332741789485,20.775376626318955,-19.722441256213795,45.51613024806058,33.017957850994364,66.14810205351587,adapted_malcl__az_class__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,45.79377399252613,9.632326237094336,-9.560383791051171,34.08642139925717,36.70927684441198,94.99575911789653,adapted_malcl__az_class__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,45.5843231703657,19.555911294585087,-19.448877655441358,49.55118844009783,38.87261814368876,38.13747228381374,adapted_malcl__az_class__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,50,48.00836311707769,21.753337776967832,-21.753337776967832,43.908972979524144,33.33985138834572,60.88992974238876,adapted_malcl__az_class__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,51,40.024104269669245,14.061750941176705,-14.061750941176705,46.5275227176658,32.60343309859155,41.389961389961385,adapted_malcl__az_class__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,protocol-matched adapted MalCL baseline,42,67.43726238676474,19.54011915824399,-18.72976152118127,49.392152128302925,57.51528610105557,16.125150421179303,adapted_malcl__ember__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,protocol-matched adapted MalCL baseline,43,63.096685392279724,10.687087007327918,-9.940827854987019,51.93524054447237,58.924829157175395,25.03209242618742,adapted_malcl__ember__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,protocol-matched adapted MalCL baseline,44,63.54069000626515,28.998948283790504,-28.902801278335925,58.446777648581495,35.408334408463425,44.333333333333336,adapted_malcl__ember__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,63.55522034634655,19.610770902045303,-18.666704076951106,49.90507861716166,41.55728018907093,78.31174258253239,adapted_malcl__ember__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
