method,dataset,seed,final_taskwise_accuracy,mean_seen_accuracy,forgetting,macro_f1,weighted_f1,balanced_accuracy,final_task_macro_accuracy,final_sample_weighted_seen_accuracy,sw_aia,tm_aia,raw_result_source,raw_result_sha256,task_matrix_source,task_matrix_sha256,harmonized_metric_source,harmonized_metric_definition_version,classification_report_source,resource_measurement_source,diagnostic_source
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,42,72.83873519348619,75.85797391562461,9.87489,66.38206944923604,70.1538550546022,82.85756341837501,72.83874545454545,69.42819655099967,75.85797391562461,79.84973045618523,historical_outputs/anchored_hr/az_class/seed_42/full-result.json,fbec63f32d9a3e7159bc33d6847bdcefaeea9fa88ac3faf337440d4075fa78e4,task_matrices/anchored_hr__az_class__seed_42.json,1d223c8eaa137e96537b29914c2ff4bbe7b086ccc2368f5da03fab160eb9541d,task_matrices/anchored_hr__az_class__seed_42.json,V15.5,historical_outputs/anchored_hr/az_class/seed_42/full-result.json,historical_outputs/anchored_hr/az_class/seed_42/full-result.json,historical_outputs/anchored_hr/az_class/seed_42/full-result.json
ER (standard),AZ-Class,42,73.00228386359534,72.45678423184496,25.75123090458175,72.31151577060531,71.04153205655157,78.53103370572947,73.00228386359534,69.22511292412199,72.45678423184495,77.4087335053165,historical_outputs/er/az_class/seed_42/full-result.json,4303c371ddc1094a6bdf8583589cb2710f12370adf99e5295f919b8297d77c43,task_matrices/er__az_class__seed_42.json,1d9f9fbda754c071945bfe4a2dee09bc360ad463a3db09cb08ce66c3d6ca45df,task_matrices/er__az_class__seed_42.json,V15.5,historical_outputs/er/az_class/seed_42/full-result.json,historical_outputs/er/az_class/seed_42/full-result.json,not_reported
DER++ (standard),AZ-Class,42,73.46425518046212,71.45792607901468,25.265701626741166,72.37159842157885,71.61769324437057,79.12063034778484,73.46425518046212,70.12850590006653,71.45792607901468,76.76390308149612,historical_outputs/derpp/az_class/seed_42/full-result.json,83010979856a386342abccea5443186098eff82fc967dbcb56dda61fb5fdb8e8,task_matrices/derpp__az_class__seed_42.json,1715671bee74f1ab455782635153ff08a5e43029935a8712db747d558b4e926e,task_matrices/derpp__az_class__seed_42.json,V15.5,historical_outputs/derpp/az_class/seed_42/full-result.json,historical_outputs/derpp/az_class/seed_42/full-result.json,not_reported
protocol-matched adapted MalCL baseline,AZ-Class,42,37.57917978418698,40.04000980130101,13.802379591598314,34.74731349925126,32.8372756608885,45.47999188316822,37.57917978418698,35.53345705381841,40.04000980130101,44.521699045908036,historical_outputs/adapted_malcl/az_class/seed_42/full-result.json,63964c86de544cf4413c1e659bc3d42be34bd4fbfc85116ee12b5e35d4f19ee9,task_matrices/adapted_malcl__az_class__seed_42.json,975cfb2051df335c7d186edbc0fb148ee9e01d436582a5051829cc9fdcf69b03,task_matrices/adapted_malcl__az_class__seed_42.json,V15.5,historical_outputs/adapted_malcl/az_class/seed_42/full-result.json,historical_outputs/adapted_malcl/az_class/seed_42/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,43,74.7509802495242,74.93004578947047,7.792500000000005,67.81164512983428,72.02082334337632,83.51603147915407,74.75097272727272,71.3960661507756,74.93004578947046,76.0470251721763,historical_outputs/anchored_hr/az_class/seed_43/full-result.json,94d9c595b253dc079d43a804df29b968388e32998027bb21fd8d315ed5053d93,task_matrices/anchored_hr__az_class__seed_43.json,744a47f9a4e13cbba8ade5828c731ebaa600fbea1dbd23ec019f9eafb2db4a23,task_matrices/anchored_hr__az_class__seed_43.json,V15.5,historical_outputs/anchored_hr/az_class/seed_43/full-result.json,historical_outputs/anchored_hr/az_class/seed_43/full-result.json,historical_outputs/anchored_hr/az_class/seed_43/full-result.json
ER (standard),AZ-Class,43,72.08354287717775,75.70229532888945,26.578120844018592,66.67384638722119,71.70660530360611,80.648271442262,72.08354287717775,70.8113029167688,75.70229532888945,77.41498547299214,historical_outputs/er/az_class/seed_43/full-result.json,9a451983fcf1a506b06986d93630e339886f9cb8ec2569b345f5a839a6541e59,task_matrices/er__az_class__seed_43.json,5aa5d7113ed4921fcc9609251e8d5dc7b2076cb1bbc48ca300e7cf8782ed4938,task_matrices/er__az_class__seed_43.json,V15.5,historical_outputs/er/az_class/seed_43/full-result.json,historical_outputs/er/az_class/seed_43/full-result.json,not_reported
DER++ (standard),AZ-Class,43,74.18562525847037,76.44996280008617,23.94665587245522,66.94651980985687,72.96149154940655,81.79997845317334,74.18562525847037,71.84425224972864,76.44996280008618,78.83928848275816,historical_outputs/derpp/az_class/seed_43/full-result.json,7707a5957b028548ff6182278402e0a3429eea738abe539661b2626236b85e00,task_matrices/derpp__az_class__seed_43.json,95aad7596752cc0b07b4ec058c3abccca24efb409b10fbb70b3348aca5a7cd8a,task_matrices/derpp__az_class__seed_43.json,V15.5,historical_outputs/derpp/az_class/seed_43/full-result.json,historical_outputs/derpp/az_class/seed_43/full-result.json,not_reported
protocol-matched adapted MalCL baseline,AZ-Class,43,26.668717382127976,39.88800450266346,7.378770469050259,32.131623282965215,34.768740787748385,44.90875628174091,26.668717382127976,35.33387023355159,39.888004502663456,40.610305383147605,historical_outputs/adapted_malcl/az_class/seed_43/full-result.json,01725214cedd4eeaa15c205701820da83ad31b9306fff7673ead3b472d01e609,task_matrices/adapted_malcl__az_class__seed_43.json,81cee401f077fb692e408eae702a00fdc9b73322c3317defcfb0c164ce3c8f73,task_matrices/adapted_malcl__az_class__seed_43.json,V15.5,historical_outputs/adapted_malcl/az_class/seed_43/full-result.json,historical_outputs/adapted_malcl/az_class/seed_43/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,44,74.79624265449895,76.72197748226635,7.50348,67.93185301303976,71.43605075477201,83.37593429685971,74.79624545454546,71.32952378234532,76.72197748226635,81.3970011163584,historical_outputs/anchored_hr/az_class/seed_44/full-result.json,87b5c162b66a9f15978ae23161cbf0a71aa3ec48972e6c618da63fb0cf956fdf,task_matrices/anchored_hr__az_class__seed_44.json,2f15e59a523aa4c9624de5856527b40cb244e3a1d4c1ad0407fce1f280e86854,task_matrices/anchored_hr__az_class__seed_44.json,V15.5,historical_outputs/anchored_hr/az_class/seed_44/full-result.json,historical_outputs/anchored_hr/az_class/seed_44/full-result.json,historical_outputs/anchored_hr/az_class/seed_44/full-result.json
ER (standard),AZ-Class,44,75.47152567466985,77.58416107417622,22.709865825615687,71.93437407786539,74.18598388233698,84.69325613823538,75.47152567466985,74.68748905774012,77.58416107417621,81.93643476506362,historical_outputs/er/az_class/seed_44/full-result.json,592d94ecefcf96622f1280ae0c78bd5c19e1b3b1b4b8ece01461c3e7d0fdc206,task_matrices/er__az_class__seed_44.json,047add175709c0cb3ed6a30f38697f30e16226826db9773c94a168f6bc131d54,task_matrices/er__az_class__seed_44.json,V15.5,historical_outputs/er/az_class/seed_44/full-result.json,historical_outputs/er/az_class/seed_44/full-result.json,not_reported
DER++ (standard),AZ-Class,44,76.16855320341574,78.58217806153006,22.181356056115114,72.48873358122006,74.792863456894,84.69445750030773,76.16855320341574,75.27224342589027,78.58217806153006,82.89611772410579,historical_outputs/derpp/az_class/seed_44/full-result.json,e6f316daaea35dea0a21e3eb30c08f34942749473603afe1983bc645263c3e23,task_matrices/derpp__az_class__seed_44.json,1755b812e02db094e92009b57aa1a5967268f8da8a0766d4ff08c530ac70a868,task_matrices/derpp__az_class__seed_44.json,V15.5,historical_outputs/derpp/az_class/seed_44/full-result.json,historical_outputs/derpp/az_class/seed_44/full-result.json,not_reported
protocol-matched adapted MalCL baseline,AZ-Class,44,25.522210407502318,47.55152152422275,16.712284014760343,35.16177711109092,39.28060092052284,46.455937360322054,25.522210407502318,40.453097097237304,47.551521524222764,33.44790358880284,historical_outputs/adapted_malcl/az_class/seed_44/full-result.json,e4b5f9278b7df2ba7ce47be553dc575df61ce6f7280af315ce9eb26a4fb47ad0,task_matrices/adapted_malcl__az_class__seed_44.json,d9282dc2631110a260f5980fcd59fa303f615a279f36b7d4d7a0f4467a9e018d,task_matrices/adapted_malcl__az_class__seed_44.json,V15.5,historical_outputs/adapted_malcl/az_class/seed_44/full-result.json,historical_outputs/adapted_malcl/az_class/seed_44/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,45,73.2935822905786,77.41134386216817,8.188270000000001,68.18523765079041,71.74700980045489,84.44721903431223,73.29359090909091,71.63768404706047,77.41134386216817,81.52725081136035,historical_outputs/anchored_hr/az_class/seed_45/full-result.json,59c9d3f635de0ea7ac70fad9065db8abc3719875c50d0838b62f6be0bb0cf031,task_matrices/anchored_hr__az_class__seed_45.json,0574fe8de6df0927057d097d6b8f3a70edf1eac8df1440a163951980b689ea4f,task_matrices/anchored_hr__az_class__seed_45.json,V15.5,historical_outputs/anchored_hr/az_class/seed_45/full-result.json,historical_outputs/anchored_hr/az_class/seed_45/full-result.json,historical_outputs/anchored_hr/az_class/seed_45/full-result.json
ER (standard),AZ-Class,45,67.51284615602265,75.58106218833316,32.20419201245595,70.01147107736455,68.03831058796248,77.52649637610565,67.51284615602265,67.06467313281277,75.58106218833316,81.11065510828531,historical_outputs/er/az_class/seed_45/full-result.json,313021954a73696b20627a1ceab0a03f19718c3040bd5c0382ab2d5d2b4d15bc,task_matrices/er__az_class__seed_45.json,feb028b7cd0bce4b5dedf675236bc50030684ef156ed73ae63baea0a22b280b0,task_matrices/er__az_class__seed_45.json,V15.5,historical_outputs/er/az_class/seed_45/full-result.json,historical_outputs/er/az_class/seed_45/full-result.json,not_reported
DER++ (standard),AZ-Class,45,61.150384841085724,74.71056190216214,39.144294118207924,68.45988304376382,65.50131448285114,73.12688688729425,61.15038484108572,63.563149970237056,74.71056190216215,80.49469737868438,historical_outputs/derpp/az_class/seed_45/full-result.json,7db573dceef53f2a5ebe8bf2e757f8596b668dc926b8895ec1bcf32b538326de,task_matrices/derpp__az_class__seed_45.json,7a76887653448b9d2d07751d24fd436293bef0a2a59d6ea1d779c614e5aaeabc,task_matrices/derpp__az_class__seed_45.json,V15.5,historical_outputs/derpp/az_class/seed_45/full-result.json,historical_outputs/derpp/az_class/seed_45/full-result.json,not_reported
protocol-matched adapted MalCL baseline,AZ-Class,45,29.004630231228806,39.55008186187632,23.094130239430243,33.099225150588104,32.00709854524108,41.574937027239805,29.004630231228806,32.32956336006163,39.55008186187633,37.26455138078381,historical_outputs/adapted_malcl/az_class/seed_45/full-result.json,90691ce8e073571679dd95678650604b4cb58d3467123a42eaf95e21c6790f1a,task_matrices/adapted_malcl__az_class__seed_45.json,0e322c93da9bf903776de888d9c0faff6bfca43f13ee818a52795c248dfab668,task_matrices/adapted_malcl__az_class__seed_45.json,V15.5,historical_outputs/adapted_malcl/az_class/seed_45/full-result.json,historical_outputs/adapted_malcl/az_class/seed_45/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,46,75.88953437104986,73.89551937768464,8.813810000000002,67.08928095771715,71.25520764828012,83.18227327030237,75.88953636363637,70.96888247837809,73.89551937768464,77.99655964056144,historical_outputs/anchored_hr/az_class/seed_46/full-result.json,777575f00383bf01f97fbdb77b0ea36c9e6af9f71f13560be6b51e9feb989617,task_matrices/anchored_hr__az_class__seed_46.json,0a01296149d831afeb414298835397ec5654a353a1bcbb00fdfbedfa91417a1d,task_matrices/anchored_hr__az_class__seed_46.json,V15.5,historical_outputs/anchored_hr/az_class/seed_46/full-result.json,historical_outputs/anchored_hr/az_class/seed_46/full-result.json,historical_outputs/anchored_hr/az_class/seed_46/full-result.json
ER (standard),AZ-Class,46,78.80831208732248,75.22211633563049,19.690447705429754,70.28768744521656,72.75462520145723,83.6205002546014,78.80831208732248,73.26937217689695,75.22211633563049,80.03297200083308,historical_outputs/er/az_class/seed_46/full-result.json,f307d08ad01d3067a01605947df1ad36e0e1243240853e29f78233c1956cc1b7,task_matrices/er__az_class__seed_46.json,0616301670bbe8437739ed16ea1df3584087ff54283baf8ff9f0a44b5e675e8f,task_matrices/er__az_class__seed_46.json,V15.5,historical_outputs/er/az_class/seed_46/full-result.json,historical_outputs/er/az_class/seed_46/full-result.json,not_reported
DER++ (standard),AZ-Class,46,80.27111311980953,74.12496023376899,17.881296496784778,70.71494943277577,73.34646088612313,84.28300487454334,80.27111311980953,74.15875906019119,74.12496023376899,80.041813004462,historical_outputs/derpp/az_class/seed_46/full-result.json,32ffb3d36a8889e8ffa1053829b3bb1a7f14fcdf116726731eb3c79bd4476a05,task_matrices/derpp__az_class__seed_46.json,5da12c920db218d7ee42291be53d9bb15caa9d33ada113836ae6a5c32d34bbe1,task_matrices/derpp__az_class__seed_46.json,V15.5,historical_outputs/derpp/az_class/seed_46/full-result.json,historical_outputs/derpp/az_class/seed_46/full-result.json,not_reported
protocol-matched adapted MalCL baseline,AZ-Class,46,32.007570029745494,47.80314759275813,10.355887110991741,37.36288014755007,39.3547120746228,50.578808842228916,32.007570029745494,39.46216604222837,47.80314759275813,39.512532910743154,historical_outputs/adapted_malcl/az_class/seed_46/full-result.json,a3678f63d99b4832b0e0447ac09f2146a6ace15550dc1c2a94e0dbef944d9d62,task_matrices/adapted_malcl__az_class__seed_46.json,4ed5f88d13b056335de164a2079bd07d6b297894bcf52de55724f0b239034fb4,task_matrices/adapted_malcl__az_class__seed_46.json,V15.5,historical_outputs/adapted_malcl/az_class/seed_46/full-result.json,historical_outputs/adapted_malcl/az_class/seed_46/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,47,71.49122182870579,76.68362328204599,10.665750000000001,67.99011347658954,71.57754675811479,83.90096706996201,71.49121818181818,71.45207801393606,76.683623282046,77.82851073297915,historical_outputs/anchored_hr/az_class/seed_47/full-result.json,93814b6d3a388f5efd3d5e9a8316cdda370fba61cf4b81cee4e4b05f122a3e4e,task_matrices/anchored_hr__az_class__seed_47.json,42da22dda223725c23af3bd9d3ababc860147cb5acfc16ba1f074ec86ffaa3bc,task_matrices/anchored_hr__az_class__seed_47.json,V15.5,historical_outputs/anchored_hr/az_class/seed_47/full-result.json,historical_outputs/anchored_hr/az_class/seed_47/full-result.json,historical_outputs/anchored_hr/az_class/seed_47/full-result.json
ER (standard),AZ-Class,47,73.27544478835505,78.60950594177758,26.099148743690332,70.69138975200673,72.50333216449152,84.65809101750943,73.27544478835505,72.15588781119787,78.60950594177758,81.17690628288034,historical_outputs/er/az_class/seed_47/full-result.json,72c735d24f8bee114479f4d2580fa63d2c9d84a6888fde346e7b4cd15d60e0b8,task_matrices/er__az_class__seed_47.json,9a1fd655fec23628acdb30d5825813313595c214613f1b4e806897c661ccbf84,task_matrices/er__az_class__seed_47.json,V15.5,historical_outputs/er/az_class/seed_47/full-result.json,historical_outputs/er/az_class/seed_47/full-result.json,not_reported
DER++ (standard),AZ-Class,47,74.47918094236505,79.05478026377683,24.602013899679996,71.77262348019197,73.38756835110387,85.33017562664595,74.47918094236505,73.27287370005952,79.05478026377683,82.07899016404713,historical_outputs/derpp/az_class/seed_47/full-result.json,82f42682840b082d14f46fff530106f88497846ccfe612c6539b5b4e2d0eda9e,task_matrices/derpp__az_class__seed_47.json,8e21d83297188e40048bcfc4822f28830c143291ef2908a4fd4ddf2c36d93cfe,task_matrices/derpp__az_class__seed_47.json,V15.5,historical_outputs/derpp/az_class/seed_47/full-result.json,historical_outputs/derpp/az_class/seed_47/full-result.json,not_reported
protocol-matched adapted MalCL baseline,AZ-Class,47,27.586638196957136,47.75332741789485,20.775376626318955,37.94988237308696,33.37042781490642,48.54660705926713,27.586638196957136,34.88217374557932,47.753327417894845,44.974508253690495,historical_outputs/adapted_malcl/az_class/seed_47/full-result.json,f067172cefddc6ed14e18e3bfdb4116776b0fcaeeeb6047417cb4169c22f08ac,task_matrices/adapted_malcl__az_class__seed_47.json,732653b0cfb0fbb00462349bdef74711bba5e9a5b83c479920c73de0ba91baaa,task_matrices/adapted_malcl__az_class__seed_47.json,V15.5,historical_outputs/adapted_malcl/az_class/seed_47/full-result.json,historical_outputs/adapted_malcl/az_class/seed_47/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,48,76.42847766483371,74.82939070311363,7.457269999999997,67.66846578913282,71.84082954305882,84.04467751882041,76.42848181818184,71.44856357715607,74.82939070311362,76.25825300800209,historical_outputs/anchored_hr/az_class/seed_48/full-result.json,dd70f8cba28374e5a000c9ce4dec876dd1a0a19b134457de0abbd773b7f388fe,task_matrices/anchored_hr__az_class__seed_48.json,b37bc06d9d470022ee56327b057f39d160e9e8d48c093751ae5295fe1e6a92bf,task_matrices/anchored_hr__az_class__seed_48.json,V15.5,historical_outputs/anchored_hr/az_class/seed_48/full-result.json,historical_outputs/anchored_hr/az_class/seed_48/full-result.json,historical_outputs/anchored_hr/az_class/seed_48/full-result.json
ER (standard),AZ-Class,48,79.8063330593449,76.20761347978731,18.471635626426448,71.79063679328054,75.99981052260597,85.91524303561867,79.8063330593449,75.89201302566616,76.20761347978734,78.01922819854691,historical_outputs/er/az_class/seed_48/full-result.json,435d0c2776e9f94ab2b70165e70919aa76494d658bbc2e9aae76550a7dc3882d,task_matrices/er__az_class__seed_48.json,fda23ffd6caa82b9eecd0d00e9a98fc82bef960304d66a63d88428f23304fae1,task_matrices/er__az_class__seed_48.json,V15.5,historical_outputs/er/az_class/seed_48/full-result.json,historical_outputs/er/az_class/seed_48/full-result.json,not_reported
DER++ (standard),AZ-Class,48,81.54349888347733,76.9188007099606,16.23243401264742,72.3174367975481,76.39626691147909,86.3322710033771,81.54349888347731,76.46976434749115,76.9188007099606,80.0832556913109,historical_outputs/derpp/az_class/seed_48/full-result.json,be93de02e30a09f8deb3e26ab72ef354be4c1f45f04618a6049f83608f402a66,task_matrices/derpp__az_class__seed_48.json,0dee398c91dff673a9da881471dc837d287761b4966d961b96e718dc6388db0a,task_matrices/derpp__az_class__seed_48.json,V15.5,historical_outputs/derpp/az_class/seed_48/full-result.json,historical_outputs/derpp/az_class/seed_48/full-result.json,not_reported
protocol-matched adapted MalCL baseline,AZ-Class,48,25.395163407392467,45.79377399252613,9.632326237094336,35.78773993600561,38.06910461569222,48.7949202223538,25.395163407392467,39.115515249133374,45.79377399252613,28.963770687551893,historical_outputs/adapted_malcl/az_class/seed_48/full-result.json,404701c1cdf2e03eb870c16eac85494b51570af797a67e9025d706b1325e84b7,task_matrices/adapted_malcl__az_class__seed_48.json,ec8ec09d6195b0d730e89244b08bf646d6861c9b746ce7c1e52c1d20c6e07e4d,task_matrices/adapted_malcl__az_class__seed_48.json,V15.5,historical_outputs/adapted_malcl/az_class/seed_48/full-result.json,historical_outputs/adapted_malcl/az_class/seed_48/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,49,70.63514920506762,76.04804615229259,10.538040000000004,67.33719876395786,70.85173418649786,83.44447229575634,70.63515454545454,70.67475218670121,76.0480461522926,75.62933832808605,historical_outputs/anchored_hr/az_class/seed_49/full-result.json,a7a6f0655c38cfa6ef522a6154bec70a2e8f7d1a7ca6404d3d9a6541c18f468a,task_matrices/anchored_hr__az_class__seed_49.json,72639367e33fe60f29e00c42c5759220393e71cf49e98815b83dd8a2610dd3c6,task_matrices/anchored_hr__az_class__seed_49.json,V15.5,historical_outputs/anchored_hr/az_class/seed_49/full-result.json,historical_outputs/anchored_hr/az_class/seed_49/full-result.json,historical_outputs/anchored_hr/az_class/seed_49/full-result.json
ER (standard),AZ-Class,49,75.041039328691,75.04553037989292,24.4809462693874,71.73734033022059,74.12945302025823,85.7208890870376,75.041039328691,74.4178717742218,75.04553037989291,76.68723542104175,historical_outputs/er/az_class/seed_49/full-result.json,c40f86f7b530d84940b498f39b9b083347a4610b0e98d80fec2b6e78d18b9835,task_matrices/er__az_class__seed_49.json,ba1d71e841b2e1c3513ce765b663429e3f3205d7008933e627306dec91f9ed58,task_matrices/er__az_class__seed_49.json,V15.5,historical_outputs/er/az_class/seed_49/full-result.json,historical_outputs/er/az_class/seed_49/full-result.json,not_reported
DER++ (standard),AZ-Class,49,76.95327258100568,71.98962380481227,22.232255165369256,72.50137480586656,75.06180559901439,86.14101159432575,76.95327258100569,75.47183024615708,71.98962380481227,75.14533481962411,historical_outputs/derpp/az_class/seed_49/full-result.json,42e851f98e62b83d159ad05fd5d672235c8225c82e5c1de5933e548874f1a2e7,task_matrices/derpp__az_class__seed_49.json,773586d813924b581454f3df3e1215593bed44aee65b355a7f846b6e87cfa1b4,task_matrices/derpp__az_class__seed_49.json,V15.5,historical_outputs/derpp/az_class/seed_49/full-result.json,historical_outputs/derpp/az_class/seed_49/full-result.json,not_reported
protocol-matched adapted MalCL baseline,AZ-Class,49,31.870390571514772,45.5843231703657,19.555911294585087,37.94621553969034,38.115983910131376,48.55993983014336,31.870390571514772,38.84939948877762,45.5843231703657,40.3121768460697,historical_outputs/adapted_malcl/az_class/seed_49/full-result.json,61be2bd37defeea0edc6772f49b775b6f3b356b04bd4573af06ecc7a528c15ca,task_matrices/adapted_malcl__az_class__seed_49.json,e85d463ff6cc69329b40f4e92bbd5d20497f4eaca35a327cb757d9ee8374b303,task_matrices/adapted_malcl__az_class__seed_49.json,V15.5,historical_outputs/adapted_malcl/az_class/seed_49/full-result.json,historical_outputs/adapted_malcl/az_class/seed_49/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,50,70.13122177602533,79.20645017561871,8.995709999999999,67.71273570185392,71.64554005774471,83.70574498079405,70.13121818181818,71.43806323750832,79.20645017561873,76.48100401580743,historical_outputs/anchored_hr/az_class/seed_50/full-result.json,d34b859d3d48e1f99335c51f28fd0240ff3baeeeea51cbbe13c362843dbe5981,task_matrices/anchored_hr__az_class__seed_50.json,21590dba4bbe6335aff96da6a97b2e2f0659afc2c7780ed399587a08dbbebd96,task_matrices/anchored_hr__az_class__seed_50.json,V15.5,historical_outputs/anchored_hr/az_class/seed_50/full-result.json,historical_outputs/anchored_hr/az_class/seed_50/full-result.json,historical_outputs/anchored_hr/az_class/seed_50/full-result.json
ER (standard),AZ-Class,50,68.31510765880185,78.12129724445953,31.229127475202134,71.19890480517893,70.00949053247724,83.12753103460541,68.31510765880185,71.45208165552015,78.12129724445951,76.71905046485408,historical_outputs/er/az_class/seed_50/full-result.json,655826f69948212fea8217ee4a71d7a01d061ebdf362bce86647b22dc076409a,task_matrices/er__az_class__seed_50.json,807add53752e88176b04b26087f833080f406c302c5af170f943d76b20e55e5a,task_matrices/er__az_class__seed_50.json,V15.5,historical_outputs/er/az_class/seed_50/full-result.json,historical_outputs/er/az_class/seed_50/full-result.json,not_reported
DER++ (standard),AZ-Class,50,58.56652201473898,77.29440028942498,42.04394269928752,68.05707723628255,61.101663719017715,74.87271681289187,58.56652201473898,61.553275674918595,77.29440028942497,76.53626959201868,historical_outputs/derpp/az_class/seed_50/full-result.json,aef59182c89d032ad1a7ab9d3dd45945c3024738f8c626995baa356f68a78022,task_matrices/derpp__az_class__seed_50.json,88413d9fa633de8d77eb7cb9fc505a5da69b7748d0ced6d7d4e4a06fe3ce9989,task_matrices/derpp__az_class__seed_50.json,V15.5,historical_outputs/derpp/az_class/seed_50/full-result.json,historical_outputs/derpp/az_class/seed_50/full-result.json,not_reported
protocol-matched adapted MalCL baseline,AZ-Class,50,24.133211364098837,48.00836311707769,21.753337776967832,33.719667242520096,35.27045612329831,46.561519510585796,24.133211364098837,36.22325711684583,48.0083631170777,37.73345003940414,historical_outputs/adapted_malcl/az_class/seed_50/full-result.json,33e18700344596324b0bbf3eac686e40464f18c88997ff8c38cd8d4099607be4,task_matrices/adapted_malcl__az_class__seed_50.json,27ccfb54a6f6e5597bc9d35c7d4b950af8846fcca88dbb40b52fe8786ba07b8f,task_matrices/adapted_malcl__az_class__seed_50.json,V15.5,historical_outputs/adapted_malcl/az_class/seed_50/full-result.json,historical_outputs/adapted_malcl/az_class/seed_50/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,51,74.84896634962126,73.49274929425043,11.761430000000002,67.33670491251337,70.62537963431758,83.03780705688955,74.84896363636365,70.69925497741518,73.49274929425043,78.13319729666799,historical_outputs/anchored_hr/az_class/seed_51/full-result.json,f3262618a4d412b7bbcc28bbdf240d6d5331247d848ed6e734fb1a9160424ab2,task_matrices/anchored_hr__az_class__seed_51.json,7332d5cb99f0aa56ef8be9373b46c5b3fd905d6ec75ede3a784ea7367c511e60,task_matrices/anchored_hr__az_class__seed_51.json,V15.5,historical_outputs/anchored_hr/az_class/seed_51/full-result.json,historical_outputs/anchored_hr/az_class/seed_51/full-result.json,historical_outputs/anchored_hr/az_class/seed_51/full-result.json
ER (standard),AZ-Class,51,78.98208751924652,76.01437233221205,20.447935088645323,72.38847031323944,74.7341378707405,85.45740918963664,78.98208751924652,75.11117336041178,76.01437233221205,81.031796669083,historical_outputs/er/az_class/seed_51/full-result.json,91c6a2b8c7deef53fd5cf93d09555b4cb816df82476f6dedba0d1b390903ae53,task_matrices/er__az_class__seed_51.json,c86eca570d07be0996022bb7536c68d5669c26d551b7312cd13d13e860c6c5ce,task_matrices/er__az_class__seed_51.json,V15.5,historical_outputs/er/az_class/seed_51/full-result.json,historical_outputs/er/az_class/seed_51/full-result.json,not_reported
DER++ (standard),AZ-Class,51,80.04393877045261,75.82131137753332,19.189056230002983,73.30462132218005,75.27727040362385,86.22955873877395,80.04393877045263,75.94103434994223,75.82131137753332,81.55336837365292,historical_outputs/derpp/az_class/seed_51/full-result.json,ff80fd986f1a89de4f74b8c985bef94e9c76bcdac4cfbc9a88b2e08f759b297f,task_matrices/derpp__az_class__seed_51.json,e4e22cb013ccbc0acfd4f3a5afa8f7a1cd38f9ac501c1e7953b642e677af4ac3,task_matrices/derpp__az_class__seed_51.json,V15.5,historical_outputs/derpp/az_class/seed_51/full-result.json,historical_outputs/derpp/az_class/seed_51/full-result.json,not_reported
protocol-matched adapted MalCL baseline,AZ-Class,51,33.74411277114153,40.024104269669245,14.061750941176705,34.32080615231817,32.63645738404144,49.268662738013404,33.74411277114153,33.001855807276165,40.02410426966925,40.43999531907975,historical_outputs/adapted_malcl/az_class/seed_51/full-result.json,6e7f47e259318b4125947d5478cf8b5ec2ac158cdc09a0fc86866d647d4b66df,task_matrices/adapted_malcl__az_class__seed_51.json,62f81695f2bedc185ac98964e8e407d7eeb535dc02a48043e9bfe436093a23ec,task_matrices/adapted_malcl__az_class__seed_51.json,V15.5,historical_outputs/adapted_malcl/az_class/seed_51/full-result.json,historical_outputs/adapted_malcl/az_class/seed_51/full-result.json,not_reported
