method,dataset,seed,final_taskwise_accuracy,mean_seen_accuracy,forgetting,macro_f1,weighted_f1,balanced_accuracy,final_task_macro_accuracy,final_sample_weighted_seen_accuracy,sw_aia,tm_aia,raw_result_source,raw_result_sha256,task_matrix_source,task_matrix_sha256,harmonized_metric_source,harmonized_metric_definition_version,classification_report_source,resource_measurement_source,diagnostic_source
DER++ (standard),EMBER,44,81.65895025025245,84.42628767044678,15.944701579844544,76.33145877116213,82.5584507181532,80.7650459078411,81.65895025025243,82.16235461666271,84.42628767044677,84.76444493542967,historical_outputs/derpp/ember/seed_44/full-result.json,26284332b397cccf50fe475604997963eb9d69004ef556d2f1ef587002d76912,task_matrices/derpp__ember__seed_44.json,5f1cd74ed7892e33afb30ab2535eaa590d39fc72b7f9164bda4b286198dfee89,task_matrices/derpp__ember__seed_44.json,V15.5,historical_outputs/derpp/ember/seed_44/full-result.json,historical_outputs/derpp/ember/seed_44/full-result.json,not_reported
protocol-matched adapted MalCL baseline,EMBER,44,32.17150375918519,63.54069000626515,28.998948283790504,34.938801893418145,35.54237394626295,41.34385017650487,32.17150375918519,36.12330880607643,63.54069000626516,56.96046592312968,historical_outputs/adapted_malcl/ember/seed_44/full-result.json,9fbe98299818a2a8a5e4fc4015991782555fe320f6fc861240ee26f77de8452a,task_matrices/adapted_malcl__ember__seed_44.json,a55afcd852bfb68cd162748edc2157f3e4e7403f6ba68a85a8275d083e954631,task_matrices/adapted_malcl__ember__seed_44.json,V15.5,historical_outputs/adapted_malcl/ember/seed_44/full-result.json,historical_outputs/adapted_malcl/ember/seed_44/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),EMBER,45,81.34740549995443,83.40414089451961,7.573540000000002,72.78329798777622,80.78601878478096,79.3306978445204,81.34740909090911,79.71455967540943,83.40414089451961,84.49852137839433,historical_outputs/anchored_hr/ember/seed_45/full-result.json,fbbd386d0b6b2fc1b9e495b47d2fb9d808267c2a67746f58944257ca435e524f,task_matrices/anchored_hr__ember__seed_45.json,fdfb04aa3bc14bf1dcfcc79a57bfd262dcce0ba558328c7080e1e074c0530aa5,task_matrices/anchored_hr__ember__seed_45.json,V15.5,historical_outputs/anchored_hr/ember/seed_45/full-result.json,historical_outputs/anchored_hr/ember/seed_45/full-result.json,historical_outputs/anchored_hr/ember/seed_45/full-result.json
ER (standard),EMBER,45,84.5688907905577,84.88857442072309,12.249634422474038,76.93850777675944,83.49926345324137,80.48218086580086,84.5688907905577,82.8239971516734,84.8885744207231,86.10418325099559,historical_outputs/er/ember/seed_45/full-result.json,5bf7b27c1eece05cdc55f6b6b0be2035582dda4b4aa8e9bbe64f7b0a1b6b66cc,task_matrices/er__ember__seed_45.json,adf3e52fff41ab43bf1452785e329841202ed309239d507840a09931f8ae7adc,task_matrices/er__ember__seed_45.json,V15.5,historical_outputs/er/ember/seed_45/full-result.json,historical_outputs/er/ember/seed_45/full-result.json,not_reported
DER++ (standard),EMBER,45,85.32917490728916,85.38010416619464,11.134074613527964,77.29475030529366,83.81764545449145,81.26091162685765,85.32917490728916,83.30465226679325,85.38010416619464,87.02926325630405,historical_outputs/derpp/ember/seed_45/full-result.json,cc81a3cf5307a8b8b86cb74aaf25032acc5b8fb9b00c6cd6d4731a0f65ec21b3,task_matrices/derpp__ember__seed_45.json,95f3df34d2b11a87350a72656409b8aabdda89dbdd5be7d49a75690426a1b637,task_matrices/derpp__ember__seed_45.json,V15.5,historical_outputs/derpp/ember/seed_45/full-result.json,historical_outputs/derpp/ember/seed_45/full-result.json,not_reported
protocol-matched adapted MalCL baseline,EMBER,45,32.935347638115196,63.55522034634655,19.610770902045303,41.960242666111085,43.17449753011494,47.60150075360461,32.935347638115196,44.16686446712556,63.555220346346566,49.03980998063458,historical_outputs/adapted_malcl/ember/seed_45/full-result.json,aeb3f953bcfdcff8ba473745a60fd4888581c1ddb36e63df21fa4508da2bfdc4,task_matrices/adapted_malcl__ember__seed_45.json,dcdb962967553c41e5a70d199bafb6ca4969751fcdd8629ad3d5f54cde307320,task_matrices/adapted_malcl__ember__seed_45.json,V15.5,historical_outputs/adapted_malcl/ember/seed_45/full-result.json,historical_outputs/adapted_malcl/ember/seed_45/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),EMBER,46,79.74227954639477,83.19592288676635,7.06598,71.74219793461515,80.48214541470325,79.62775795256955,79.74227272727272,79.3229319873012,83.19592288676635,84.13861109208972,historical_outputs/anchored_hr/ember/seed_46/full-result.json,9ea71a5d33b1e984a0bbbdcfd03b24b428cbbedaa381546ae4ac6fdab257558f,task_matrices/anchored_hr__ember__seed_46.json,1a74baa76046d6ac272dba269220f03205039ba379b32b348bcd5d2ff6b20937,task_matrices/anchored_hr__ember__seed_46.json,V15.5,historical_outputs/anchored_hr/ember/seed_46/full-result.json,historical_outputs/anchored_hr/ember/seed_46/full-result.json,historical_outputs/anchored_hr/ember/seed_46/full-result.json
ER (standard),EMBER,46,80.23324842127751,83.78734734470875,16.387640319471902,75.80119055007437,83.86353363009187,81.80966112953249,80.23324842127751,82.48872537384287,83.78734734470876,84.49109445587813,historical_outputs/er/ember/seed_46/full-result.json,b3bfa49d0a50d8350a7b618b3c7f6006f5514965761df44757d14f7960a765d9,task_matrices/er__ember__seed_46.json,be215530091ab6b835d2bf4e02d85ef9bc5847606edf99cca53a96c779b6fcc5,task_matrices/er__ember__seed_46.json,V15.5,historical_outputs/er/ember/seed_46/full-result.json,historical_outputs/er/ember/seed_46/full-result.json,not_reported
DER++ (standard),EMBER,46,81.46957187070126,84.3378381382114,14.704209157046805,77.02850008797442,85.11244224290662,82.88495011552176,81.46957187070126,84.23035841443152,84.3378381382114,85.05942099739515,historical_outputs/derpp/ember/seed_46/full-result.json,f304d29bc42ae26a73cde8d56d1a6478bc13b8556da560b2ce321441a32682f7,task_matrices/derpp__ember__seed_46.json,286f7ed8553ff734495ce1d1bc8d63193d276ec9d760f5fb1d2735979a15bb42,task_matrices/derpp__ember__seed_46.json,V15.5,historical_outputs/derpp/ember/seed_46/full-result.json,historical_outputs/derpp/ember/seed_46/full-result.json,not_reported
protocol-matched adapted MalCL baseline,EMBER,46,37.010305141122366,54.782091132983965,11.498841899808026,34.96587157815209,47.756674180903644,43.47151710895839,37.010305141122366,47.896392119629716,54.78209113298397,52.4489625153403,historical_outputs/adapted_malcl/ember/seed_46/full-result.json,85fa540936638d13e268d63e35ace4b2f5089125b84d826da02875092f336d83,task_matrices/adapted_malcl__ember__seed_46.json,c8a049077601414ca060c4c251ef7acaddedab9bbd0ee0009f6eb02ea6e4acdf,task_matrices/adapted_malcl__ember__seed_46.json,V15.5,historical_outputs/adapted_malcl/ember/seed_46/full-result.json,historical_outputs/adapted_malcl/ember/seed_46/full-result.json,not_reported
