f1-score,label,precision,recall,support
0.9514321295143213,0,0.9695431472081218,0.9339853300733496,409.0
0.8621964097148891,1,0.9714455681142177,0.7750355956336022,2107.0
0.9603429796355841,2,0.9613733905579399,0.9593147751605996,467.0
0.33476394849785407,3,0.6666666666666666,0.22349570200573066,349.0
0.7768595041322314,4,0.8103448275862069,0.746031746031746,126.0
0.9523809523809523,5,0.9523809523809523,0.9523809523809523,42.0
0.954248366013072,6,0.9240506329113924,0.9864864864864865,74.0
0.662020905923345,7,0.5428571428571428,0.8482142857142857,112.0
0.9086092715231788,8,0.9772079772079773,0.849009900990099,808.0
0.8592592592592593,9,0.8055555555555556,0.9206349206349206,63.0
0.9773855488141202,10,0.9943883277216611,0.9609544468546638,922.0
0.6526315789473685,11,0.6019417475728155,0.7126436781609196,174.0
0.5466666666666666,12,0.41,0.82,50.0
0.9889185018936737,13,0.9980181200453001,0.9799833194328608,3597.0
0.9206349206349206,14,0.8787878787878788,0.9666666666666667,60.0
0.705050505050505,15,0.9381720430107527,0.5647249190938511,618.0
0.8307567127746135,16,0.9826756496631376,0.7195207892882312,1419.0
0.8795860771401693,17,0.9904661016949152,0.7910321489001692,2364.0
0.8888888888888888,18,0.8571428571428571,0.9230769230769231,39.0
0.23943661971830985,19,0.20987654320987653,0.2786885245901639,61.0
0.947075208913649,20,0.918918918918919,0.9770114942528736,174.0
0.9308270676691729,21,0.9919871794871795,0.876770538243626,706.0
0.9594594594594594,22,0.9726027397260274,0.9466666666666667,75.0
0.5806451612903226,23,0.5625,0.6,45.0
0.4721311475409836,24,0.5179856115107914,0.43373493975903615,166.0
0.46774193548387094,25,0.35802469135802467,0.6744186046511628,43.0
0.7346938775510204,26,0.6792452830188679,0.8,45.0
0.20652173913043478,27,0.34545454545454546,0.14728682170542637,129.0
0.41134751773049644,28,0.3391812865497076,0.5225225225225225,111.0
0.8285714285714286,29,0.8226950354609929,0.8345323741007195,139.0
0.872617853560682,30,0.9720670391061452,0.7916287534121929,1099.0
0.9352941176470588,31,0.9352941176470588,0.9352941176470588,170.0
0.6622950819672131,32,0.608433734939759,0.7266187050359713,139.0
0.933806146572104,33,0.9272300469483568,0.9404761904761905,420.0
0.8275229357798165,34,0.8067978533094812,0.8493408662900188,531.0
0.780952380952381,35,0.6833333333333333,0.9111111111111111,45.0
0.992,36,0.9841269841269841,1.0,62.0
0.991044776119403,37,1.0,0.9822485207100592,169.0
0.9822866344605475,38,0.9775641025641025,0.9870550161812298,309.0
0.9640905542544886,39,0.9809372517871326,0.9478127398311589,1303.0
0.9615384615384616,40,0.9433962264150944,0.9803921568627451,102.0
0.9528023598820059,41,0.9255014326647565,0.9817629179331308,329.0
0.9387331256490135,42,0.9205702647657841,0.9576271186440678,472.0
0.09333333333333334,43,1.0,0.04895104895104895,143.0
1.0,44,1.0,1.0,62.0
0.6141732283464567,45,0.5131578947368421,0.7647058823529411,51.0
0.7495069033530573,46,0.7335907335907336,0.7661290322580645,248.0
0.7821782178217822,47,0.6752136752136753,0.9294117647058824,85.0
0.7133550488599348,48,0.6759259259259259,0.7551724137931034,290.0
0.3378119001919386,49,0.8,0.2141119221411192,822.0
0.8659217877094972,50,0.824468085106383,0.9117647058823529,170.0
0.8157894736842105,51,0.7469879518072289,0.8985507246376812,69.0
0.8,52,0.7142857142857143,0.9090909090909091,44.0
1.0,53,1.0,1.0,54.0
0.8633333333333333,54,0.8691275167785235,0.8576158940397351,302.0
0.9955156950672646,55,0.9910714285714286,1.0,111.0
0.9659863945578231,56,0.9594594594594594,0.9726027397260274,73.0
0.9318681318681319,57,0.9422222222222222,0.9217391304347826,230.0
0.7339971550497866,58,0.6861702127659575,0.7889908256880734,327.0
0.40375586854460094,59,0.6056338028169014,0.3028169014084507,142.0
0.9142857142857143,60,0.9142857142857143,0.9142857142857143,175.0
0.9803921568627451,61,0.974025974025974,0.9868421052631579,76.0
0.6528169014084507,62,0.9478527607361963,0.49785177228786254,1862.0
0.1,63,0.21428571428571427,0.06521739130434782,46.0
0.9426229508196722,64,0.9663865546218487,0.92,125.0
0.9938650306748467,65,0.9878048780487805,1.0,81.0
