class_label,accuracy
71,0.9863013698630136
33,0.8941176470588236
37,0.40963855421686746
10,0.13138686131386862
44,0.9310344827586207
34,0.9174757281553398
24,0.9838187702265372
98,0.18
73,1.0
95,0.9230769230769231
50,0.9921259842519685
13,0.4045307443365696
53,0.984
57,0.746031746031746
39,0.9822485207100592
51,0.8229166666666666
11,0.7425742574257426
21,0.7123287671232876
20,0.9168704156479217
15,0.9186295503211992
52,0.9830508474576272
74,0.43548387096774194
29,0.8956521739130435
70,0.9420289855072463
93,0.8444444444444444
8,0.7634212920837125
46,0.7482014388489209
91,0.9523809523809523
54,1.0
14,0.7589453860640302
43,0.5070422535211268
4,0.9422275163787969
92,0.6046511627906976
62,0.9901960784313726
25,0.6513761467889908
76,1.0
96,0.9090909090909091
17,0.9918032786885246
41,0.8971428571428571
6,0.8549501151189562
42,0.9090909090909091
35,0.8186528497409327
45,0.6618705035971223
5,0.7216349541930938
36,0.9659863945578231
86,0.6078431372549019
3,0.523093447905478
49,0.21621621621621623
66,0.7222222222222222
77,1.0
47,1.0
9,0.9739696312364425
26,0.7019867549668874
7,0.9827288428324698
94,0.5777777777777777
0,0.9696969696969697
38,0.6839080459770115
68,0.6986301369863014
64,0.6363636363636364
12,0.9844192634560907
56,0.27906976744186046
81,0.45652173913043476
85,0.82
82,1.0
67,0.8588235294117647
87,0.7543859649122807
99,0.8571428571428571
16,0.9755102040816327
63,0.4864864864864865
23,0.9787234042553191
83,0.26229508196721313
65,0.9791666666666666
28,0.47017543859649125
1,0.7199661590524534
78,0.96
97,0.8222222222222222
90,0.9344262295081968
48,0.18181818181818182
88,1.0
84,1.0
89,0.9666666666666667
30,0.7253218884120172
79,0.9047619047619048
59,0.865979381443299
22,0.46131805157593125
55,0.6339285714285714
31,0.7137096774193549
32,0.8963730569948186
72,0.9605263157894737
2,0.7427622211675368
80,1.0
27,0.7758620689655172
60,0.9318181818181818
75,1.0
18,0.9766949152542372
19,0.9452380952380952
58,0.9809523809523809
40,0.9411764705882353
69,0.9864864864864865
61,0.8141592920353983
